pID,condition,section,seenRed,seenBlue,e0,e10,e20,e30,e40,e50,e60,e70,e80,e90,e100,age,gender,botCheck,time,chipsOrder,actuallyEstimated
37,estimated,prior,4,1,0.0303,0.0645,0.1517,0.2553,0.1045,0.1856,0.0416,0.0416,0.0416,0.0416,0.0416,24,female,1,298.08,22122,1
37,estimated,posterior,4,1,0.088,0.1162,0.0019,0.0516,0.0483,0.4949,0.0847,0.0864,0.0152,0.001,0.0119,24,female,1,298.08,22122,1
38,estimated,prior,4,1,0.0084,0.0363,0.04,0.047,0.249,0.3008,0.2406,0.0347,0.0257,0.0122,0.0054,55,female,1,237.63,22221,1
38,estimated,posterior,4,1,0.0001,0.0109,0.0134,0.0145,0.116,0.3045,0.3478,0.1362,0.037,0.0181,0.0014,55,female,1,237.63,22221,1
39,given,posterior,4,1,0.203,0,0.797,0,0,0,0,0,0,0,0,37,female,1,290.01,22221,1
40,estimated,prior,4,1,0.0169,0.1997,0.2971,0.1971,0.0979,0.0598,0.0489,0.0387,0.0331,0.0079,0.0028,24,male,1,179.32,22122,1
40,estimated,posterior,4,1,0.002,0.0205,0.0227,0.0843,0.2275,0.2904,0.226,0.1067,0.0111,0.0004,0.0084,24,male,1,179.32,22122,1
41,given,posterior,4,1,0.0009,0.022,0.0478,0.0808,0.1087,0.1471,0.1765,0.206,0.156,0.0521,0.0022,27,male,1,278.97,12222,1
42,estimated,prior,4,1,0.0836,0,0,0.018,0.0078,0,0,0,0.8907,0,0,45,female,1,101.21,21222,1
42,estimated,posterior,4,1,0.0039,0.008,0.0033,0.0033,0.0147,0.0268,0.0033,0.0033,0.8905,0.0308,0.012,45,female,1,101.21,21222,1
43,given,posterior,4,1,0.0017,0.028,0.0367,0.0516,0.0952,0.1219,0.1625,0.2008,0.2452,0.0559,0.0007,27,female,1,383.11,22221,1
44,given,posterior,4,1,0.0124,0.1031,0.0681,0.0585,0.401,0.0598,0.1196,0.0908,0.0042,0.0701,0.0124,33,female,1,91.28,22221,1
45,estimated,prior,4,1,0,0.0142,0.0208,0.0756,0.1688,0.4761,0.1565,0.063,0.0175,0.0075,0,27,male,1,374.57,22122,1
45,estimated,posterior,4,1,0.0004,0.0028,0.0011,0.0033,0.0026,0.1921,0.2485,0.2888,0.2552,0.0021,0.0031,27,male,1,374.57,22122,1
46,estimated,prior,4,1,0,0,0,0.0341,0.4002,0,0.48,0,0.0856,0,0,21,male,1,118.99,12222,1
46,estimated,posterior,4,1,0,0,0,0,0,0.2033,0,0.7967,0,0,0,21,male,1,118.99,12222,1
47,given,posterior,4,1,0.0033,0.0333,0.0667,0.126,0.1599,0.201,0.1612,0.1452,0.0633,0.0333,0.0067,29,male,1,453.94,22221,1
48,given,posterior,4,1,0.0156,0.0693,0.0156,0.0156,0.0156,0.0343,0.0156,0.1343,0.6325,0.03,0.0218,26,female,1,373.17,12222,1
49,estimated,prior,4,1,0.0819,0.0368,0.0303,0.0303,0.1366,0.1957,0.1238,0.1077,0.098,0.1125,0.0465,38,female,1,122.68,22122,1
49,estimated,posterior,4,1,0.0814,0.0679,0.1499,0.0799,0.0754,0.1351,0.1201,0.0679,0.1365,0.0843,0.0016,38,female,1,122.68,22122,1
50,given,posterior,4,1,0.0085,0.0085,0.0085,0.0085,0.0085,0.0467,0.2402,0.116,0.5379,0.0085,0.0085,24,male,1,262.49,21222,1
51,given,posterior,4,1,0.11,0.1183,0.0583,0.1467,0.1333,0.125,0.0617,0.0033,0.0133,0.0783,0.1517,37,male,1,493.53,22221,0
52,estimated,prior,4,1,0.1765,0.1087,0.1035,0.0945,0.0881,0.1061,0.0162,0.0368,0.0727,0.0933,0.1035,23,female,1,187.25,22212,1
52,estimated,posterior,4,1,0,0,0,0,0,0.1402,0.4864,0.2667,0.0867,0.02,0,23,female,1,187.25,22212,1
53,given,posterior,4,1,0.034,0.0017,0.0017,0.0165,0.0017,0.0102,0.0017,0.0054,0.034,0.8915,0.0017,31,female,1,302.64,21222,1
54,estimated,prior,4,1,0.002,0.0031,0.001,0.0003,0.7356,0.0044,0.0313,0.0883,0.0715,0.0313,0.0313,28,female,1,230.5,22212,1
54,estimated,posterior,4,1,0.002,0.0029,0.0008,0.0027,0.0016,0.0016,0.0015,0.0188,0.8805,0.0438,0.0438,28,female,1,230.5,22212,1
55,given,posterior,4,1,0.0619,0.1431,0.0561,0.0948,0.1296,0.0174,0.176,0.0754,0.1025,0.1257,0.0174,24,female,1,83.98,21222,0
56,estimated,prior,4,1,0.0021,0.0021,0.0021,0.0021,0.0021,0.4938,0.0021,0.0021,0.0021,0.0021,0.4875,28,female,1,159.31,22122,1
56,estimated,posterior,4,1,0.0007,0.0007,0.0007,0.0007,0.0007,0.0007,0.0007,0.1833,0.6357,0.175,0.0007,28,female,1,159.31,22122,1
57,given,posterior,4,1,0,0.1047,0.0543,0.129,0.1291,0.2298,0.1001,0.0986,0.0803,0.0742,0,26,male,1,157.9,22122,1
58,estimated,prior,4,1,0.0348,0.0787,0.26,0.1113,0.1745,0.01,0.1186,0.0428,0.0129,0.0976,0.0587,29,female,1,140.45,12222,1
58,estimated,posterior,4,1,0,0.1104,0.0432,0.1104,0.0863,0.0553,0.0546,0.0381,0.3584,0.1173,0.026,29,female,1,140.45,12222,1
59,estimated,prior,4,1,0.0959,0.0901,0.0931,0.0901,0.0901,0.0901,0.0901,0.0897,0.0905,0.0901,0.0901,25,male,1,267.17,12222,1
59,estimated,posterior,4,1,0,0,0,0.01,0.0405,0.0604,0.1253,0.1504,0.469,0.1444,0,25,male,1,267.17,12222,1
60,estimated,prior,4,1,0.0838,0.1296,0.0351,0.1494,0.1296,0.1082,0.0229,0.0229,0.1159,0.0701,0.1326,20,female,1,155.04,22122,0
60,estimated,posterior,4,1,0.0391,0.0216,0,0.2394,0.0172,0.1405,0.3549,0,0.1024,0,0.0849,20,female,1,155.04,22122,1
61,estimated,prior,4,1,0,0.0468,0.1057,0.1211,0.1544,0.1866,0.132,0.1133,0.0867,0.0533,0,21,male,1,135.61,12222,1
61,estimated,posterior,4,1,0,0.0367,0.0367,0.0409,0.0412,0.112,0.1236,0.1583,0.2603,0.1903,0,21,male,1,135.61,12222,1
62,estimated,prior,4,1,0.0725,0.1229,0.0389,0.1123,0.0574,0.4016,0.0389,0.0389,0.0389,0.0389,0.0389,20,female,1,108.12,22122,1
62,estimated,posterior,4,1,0.0352,0.0003,0.0263,0.0003,0.0003,0.0299,0.0334,0.0003,0.7929,0.0529,0.0281,20,female,1,108.12,22122,1
63,given,posterior,4,1,0.0036,0.0169,0.0239,0.0411,0.0527,0.0731,0.1003,0.2069,0.3204,0.1597,0.0015,31,male,1,152.84,21222,1
64,estimated,prior,4,1,0.0319,0.0093,0.0465,0.002,0.082,0.4999,0.0448,0.0933,0.1062,0.082,0.002,24,male,1,351.31,22221,1
64,estimated,posterior,4,1,0.0066,0.0187,0.0066,0.0007,0.0632,0.0007,0.0007,0.0007,0.0046,0.8971,0.0007,24,male,1,351.31,22221,1
65,estimated,prior,4,1,0.3265,0.0542,0,0.0529,0.0672,0,0,0.1003,0.0352,0.3638,0,18,male,1,136.2,22221,1
65,estimated,posterior,4,1,0,0,0,0,0,0,0,0.0654,0.1381,0.7965,0,18,male,1,136.2,22221,1
66,estimated,prior,4,1,0.0504,0.051,0.4957,0.0504,0.0504,0.0504,0.0504,0.0504,0.0504,0.0504,0.0504,26,female,1,412.43,12222,1
66,estimated,posterior,4,1,0,0.0522,0.4603,0.0541,0.058,0.0581,0.0559,0.0938,0.0777,0.0833,0.0067,26,female,1,412.43,12222,1
67,given,posterior,4,1,0,0,0,0.0339,0.0992,0.1243,0.0631,0.0336,0,0,0.6459,39,male,1,362.3,22221,1
68,given,posterior,4,1,0.0007,0.0007,0.0007,0.0007,0.0007,0.0007,0.1859,0.2588,0.3293,0.2214,0.0007,19,male,1,214.9,21222,1
69,given,posterior,4,1,0,0,0,0,0,0.0457,0.0809,0.1338,0.7396,0,0,19,female,1,406.63,22212,1
70,estimated,prior,4,1,0.0139,0.0243,0.1667,0.0781,0.0747,0.0799,0.1215,0.059,0.1597,0.0694,0.1528,19,male,1,119.31,22212,0
70,estimated,posterior,4,1,0.11,0.0754,0.1427,0.09,0.1665,0.0754,0.195,0.0663,0.008,0.0608,0.0098,19,male,1,119.31,22212,1
71,given,posterior,4,1,0.0087,0.0127,0.0087,0.1452,0.2069,0.2396,0.2666,0.0857,0.0087,0.0087,0.0087,19,female,1,580.72,22221,1
72,given,posterior,4,1,0.055,0.1564,0.0558,0.0815,0.055,0.1347,0.0973,0.0558,0.1984,0.055,0.055,23,male,1,267.96,22212,1
73,given,posterior,4,1,0.158,0.0293,0.0879,0.1401,0.0505,0.1352,0.0326,0.0863,0.0114,0.1417,0.127,21,male,1,131.22,12222,0
74,given,posterior,4,1,0,0,0.1146,0,0.0874,0,0.798,0,0,0,0,48,female,1,101.82,22212,1
75,given,posterior,4,1,0.0039,0.0711,0.0857,0.0819,0.073,0.0706,0.0738,0.0979,0.2761,0.0945,0.0716,21,male,1,221.24,22221,1
76,estimated,prior,4,1,0.0129,0,0,0.0437,0.3853,0.4322,0,0.0575,0,0.0685,0,19,female,1,181.78,21222,1
76,estimated,posterior,4,1,0.0008,0.0008,0.0229,0.0008,0.042,0.3047,0.4314,0.1933,0.0008,0.0008,0.0015,19,female,1,181.78,21222,1
77,estimated,prior,4,1,0.0959,0.0079,0.0239,0.0799,0.3953,0.0017,0.1059,0.0359,0.0919,0.0659,0.0959,35,female,1,139.22,22221,1
77,estimated,posterior,4,1,0.0073,0.0115,0.0216,0.0487,0.0183,0.0073,0.0436,0.0073,0.7817,0.0073,0.0453,35,female,1,139.22,22221,1
78,estimated,prior,4,1,0.0142,0.0528,0.1049,0.1802,0.2234,0.1626,0.1114,0.0766,0.0464,0.0167,0.0108,21,female,1,605.26,22122,1
78,estimated,posterior,4,1,0.0013,0.0019,0.0025,0,0.022,0.0507,0.1287,0.2249,0.3567,0.2103,0.0008,21,female,1,605.26,22122,1
79,given,posterior,4,1,0.0122,0.1062,0.0563,0.0956,0.143,0.1833,0.1418,0.0947,0.1509,0.008,0.008,29,female,1,164.74,22221,1
80,estimated,prior,4,1,0.1093,0.2977,0.1108,0.1093,0.0397,0.0117,0.0913,0.0599,0.1333,0.0254,0.0117,31,male,1,271.93,22212,1
80,estimated,posterior,4,1,0.0022,0.1537,0.1143,0.0481,0.0907,0.0907,0.1112,0.13,0.0505,0.1155,0.093,31,male,1,271.93,22212,1
81,estimated,prior,4,1,0.0484,0.051,0.0354,0.0575,0.0834,0.0757,0.3887,0.064,0.0938,0.0134,0.0886,23,female,1,403.2,22122,1
81,estimated,posterior,4,1,0.0005,0.0003,0.0003,0.0003,0.0003,0.0003,0.0003,0.0003,0.9965,0.0003,0.0003,23,female,1,403.2,22122,1
82,estimated,prior,4,1,0.1254,0.099,0.1155,0.0644,0.1353,0.0825,0.0611,0.1601,0.0875,0.0462,0.0231,26,female,1,90.07,12222,0
82,estimated,posterior,4,1,0.0809,0.1015,0.1687,0.0792,0.117,0.1583,0.0981,0.0465,0.0516,0.0792,0.0189,26,female,1,90.07,12222,0
83,estimated,prior,4,1,0.0903,0.0903,0.0913,0.0903,0.0903,0.0957,0.0903,0.0903,0.0903,0.0903,0.0903,21,female,1,315.65,21222,1
83,estimated,posterior,4,1,0.0012,0.0001,0.0026,0.0006,0.0017,0.0003,0.1497,0.3452,0.4003,0.0961,0.0023,21,female,1,315.65,21222,1
84,estimated,prior,4,1,0.0027,0.382,0.3247,0.2161,0.0561,0.0099,0.0001,0.0018,0.0012,0.0024,0.0029,21,female,0,239.56,21222,1
84,estimated,posterior,4,1,0.0027,0.0685,0.1422,0.3103,0.2726,0.1389,0.0574,0.0033,0.0009,0,0.0033,21,female,0,239.56,21222,1
85,given,posterior,4,1,0.008,0.008,0.008,0.008,0.0531,0.1475,0.2709,0.4725,0.008,0.008,0.008,26,male,1,192.84,22212,1
86,given,posterior,4,1,0,0.03,0.0467,0.0833,0.111,0.13,0.1595,0.1953,0.2442,0,0,26,female,1,480.61,12222,1
87,given,posterior,4,1,0.0726,0.0407,0.1023,0.071,0.0663,0.0663,0.1242,0.0976,0.1967,0.0522,0.1101,40,female,1,254.12,12222,1
88,given,posterior,4,1,0.0045,0.0045,0.0045,0.0045,0.0456,0.2967,0.3007,0.2394,0.0875,0.0045,0.0074,22,female,1,292.42,22122,1
89,given,posterior,4,1,0.203,0.0063,0.001,0.0086,0.1376,0.2192,0.001,0.1336,0.1081,0.0896,0.0919,24,female,1,181.89,21222,1
90,given,posterior,4,1,0.0502,0.0433,0.1291,0.1428,0.0828,0.1127,0.1102,0,0.021,0.16,0.148,21,male,1,148.43,22221,1
91,given,posterior,4,1,0,0,0,0,0.027,0.19,0.2807,0.3818,0.0842,0.0226,0.0137,27,male,1,159.85,22221,1
92,estimated,prior,4,1,0.1351,0.1961,0.1145,0.0874,0.0616,0.0433,0.1465,0.1215,0.0942,0,0,21,nonbinary,1,211.5,21222,1
92,estimated,posterior,4,1,0.001,0.1232,0.0462,0.1152,0.0595,0.0489,0.0568,0.1125,0.2443,0.1921,0.0002,21,nonbinary,1,211.5,21222,1
93,estimated,prior,4,1,0,0.02,0.0516,0.12,0.188,0.2339,0.19,0.12,0.0521,0.0244,0,24,male,1,465.42,12222,1
93,estimated,posterior,4,1,0.0076,0.0221,0.0501,0.1115,0.1794,0.2609,0.1791,0.1057,0.0494,0.0221,0.0121,24,male,1,465.42,12222,1
94,estimated,prior,4,1,0.2004,0.141,0.1214,0.0204,0.1113,0.0534,0.065,0.0594,0.0375,0.1136,0.0765,38,male,1,507.56,12222,1
94,estimated,posterior,4,1,0.0042,0,0.0336,0,0,0.0091,0.0564,0,0,0.8967,0,38,male,1,507.56,12222,1
95,given,posterior,4,1,0.0017,0.0072,0.0492,0.0793,0.1033,0.1599,0.2427,0.198,0.0953,0.04,0.0233,36,male,1,193.83,21222,1
96,given,posterior,4,1,0,0.0565,0,0.1059,0.0168,0.1089,0.3967,0.121,0.054,0.0782,0.0621,27,female,1,147.3,22212,1
97,estimated,prior,4,1,0,0.0924,0.1547,0.4183,0.0751,0.1662,0.0465,0.0301,0.01,0.0067,0,19,male,0,222.89,22122,1
97,estimated,posterior,4,1,0,0,0.0133,0.0167,0.0367,0.0667,0.0972,0.2889,0.3519,0.1287,0,19,male,0,222.89,22122,1
98,given,posterior,4,1,0.144,0.0885,0.0123,0.0391,0.2037,0.0473,0.1831,0.1008,0.1214,0.0021,0.0576,28,female,1,243.59,22122,0
99,given,posterior,4,1,0.0872,0.0403,0.0133,0,0.1891,0,0,0.4745,0.0121,0,0.1834,25,male,1,325.68,22122,1
100,estimated,prior,4,1,0.0908,0.0231,0.0281,0.0908,0.0941,0.1106,0.1485,0.1518,0.0116,0.1502,0.1007,25,female,1,144.76,22212,0
100,estimated,posterior,4,1,0.1685,0.0435,0.1087,0.1558,0.0779,0.0507,0.1504,0.1268,0,0.0652,0.0525,25,female,1,144.76,22212,0
101,given,posterior,4,1,0.0237,0.0358,0.2976,0.0739,0.0465,0.1256,0.0267,0.1226,0.0602,0.115,0.0724,25,female,1,438.44,21222,1
102,given,posterior,4,1,0.0031,0.1215,0.0089,0.106,0.0849,0.1381,0.385,0.0464,0.0442,0.0508,0.0111,31,female,1,109.88,22212,1
103,given,posterior,4,1,0.0023,0.0142,0.0449,0.0872,0.1203,0.2632,0.2423,0.1652,0.0517,0.007,0.0017,21,female,1,281.88,21222,1
104,estimated,prior,4,1,0.0349,0.2167,0.0729,0.0508,0.0246,0.2079,0.0558,0.0268,0.0923,0.0901,0.1272,26,female,0,568.9,22212,1
104,estimated,posterior,4,1,0.2999,0.3008,0.0932,0.0433,0.0924,0.0146,0.0511,0.0146,0.0243,0.0146,0.0511,26,female,0,568.9,22212,1
105,estimated,prior,4,1,0.0937,0.0142,0.1441,0.0937,0.0848,0.1942,0.1425,0.0848,0.0427,0.0183,0.087,42,male,1,291.02,12222,1
105,estimated,posterior,4,1,0,0.05,0.0491,0.0697,0.0598,0.0935,0.1286,0.1634,0.1794,0.2066,0,42,male,1,291.02,12222,1
106,given,posterior,4,1,0.0606,0,0.0333,0.0376,0.1128,0.1508,0.154,0.175,0.1892,0.0348,0.052,24,male,1,116.02,22122,1
107,given,posterior,4,1,0,0,0,0,0.1165,0.444,0,0,0.4395,0,0,18,male,1,154.72,21222,1
108,given,posterior,4,1,0.0004,0.0122,0.0351,0.0574,0.0894,0.1285,0.152,0.1796,0.1965,0.1459,0.0031,21,male,1,632.68,22212,1
109,given,posterior,4,1,0.0122,0.0122,0.0127,0.0122,0.0122,0.4975,0.3921,0.0122,0.0122,0.0122,0.0122,21,female,1,307.85,22122,1
110,estimated,prior,4,1,0.0017,0.0672,0.1037,0.1722,0.2564,0.0599,0.0017,0.0374,0.0017,0.0017,0.2967,29,male,1,145.56,22221,1
110,estimated,posterior,4,1,0.0243,0.0716,0.0029,0.0458,0,0,0.108,0,0,0,0.7474,29,male,1,145.56,22221,1
111,given,posterior,4,1,0.1258,0.119,0.0513,0.0293,0.008,0.008,0.0784,0.008,0.3851,0.0936,0.0936,21,female,1,132.85,12222,1
112,estimated,prior,4,1,0.029,0.0517,0.0785,0.1056,0.1321,0.1788,0.1455,0.1077,0.0838,0.0584,0.029,23,female,1,249.28,22212,1
112,estimated,posterior,4,1,0,0.0248,0.0267,0.067,0.09,0.11,0.1294,0.1551,0.1867,0.2076,0.0027,23,female,1,249.28,22212,1
113,given,posterior,4,1,0.0007,0.027,0.0426,0.1206,0.0836,0.15,0.1206,0.1074,0.2201,0.1268,0.0006,23,male,1,138.12,22221,1
114,given,posterior,4,1,0.0014,0.0167,0.0167,0.029,0.0531,0.4954,0.0994,0.139,0.0885,0.0584,0.0025,21,male,0,530.37,21222,1
115,given,posterior,4,1,0.0891,0.0071,0.016,0.1515,0.1729,0.0499,0.1462,0.1016,0.0089,0.1729,0.0838,18,male,1,56.71,22122,0
116,given,posterior,4,1,0.0939,0.0487,0.0713,0.1426,0.1304,0.0278,0.0139,0.0522,0.1739,0.1443,0.1009,24,female,1,136.29,12222,0
117,estimated,prior,4,1,0.1527,0.1011,0.0989,0.1333,0.0581,0.2043,0.0344,0.0129,0.1591,0.0129,0.0323,19,male,1,30.93,21222,0
117,estimated,posterior,4,1,0.0076,0.1335,0.0364,0.132,0.0288,0.0926,0.0592,0.0895,0.1487,0.1366,0.1351,19,male,1,30.93,21222,0
118,estimated,prior,4,1,0.0459,0.0459,0.068,0.156,0.1032,0.2973,0.1003,0.0459,0.0459,0.0459,0.0459,20,female,1,241.35,22212,1
118,estimated,posterior,4,1,0.0098,0.0098,0.0098,0.0098,0.0693,0.1551,0.1868,0.282,0.248,0.0098,0.0098,20,female,1,241.35,22212,1
119,given,posterior,4,1,0,0.0897,0.4192,0.2489,0.2422,0,0,0,0,0,0,44,female,1,602.96,12222,1
120,given,posterior,4,1,0,0,0,0,0.0736,0.1422,0.3258,0.2926,0.1367,0.021,0.0082,21,male,1,154.12,22221,1
121,estimated,prior,4,1,0.1368,0.3963,0.1009,0.0345,0.0718,0.0935,0.0407,0.0485,0.0365,0.0394,0.0011,25,male,1,182.34,22221,1
121,estimated,posterior,4,1,0.0267,0.036,0.0533,0.0367,0.0245,0.3603,0.3224,0.0749,0.0415,0,0.0237,25,male,1,182.34,22221,1
122,given,posterior,4,1,0.003,0.0333,0.0495,0.0705,0.128,0.1807,0.2608,0.1933,0.0491,0.031,0.0008,20,female,1,154.47,22122,1
123,estimated,prior,4,1,0.0612,0.0274,0.058,0.0274,0.5949,0.079,0.0274,0.0274,0.0693,0.0274,0.0007,22,female,1,100.99,12222,1
123,estimated,posterior,4,1,0.086,0.0363,0.0363,0.0477,0.0363,0.0363,0.494,0.0568,0.0751,0.0363,0.0587,22,female,1,100.99,12222,1
124,estimated,prior,4,1,0,0,0,0.2223,0.2198,0.1458,0.2137,0.1984,0,0,0,21,male,1,152.38,12222,1
