pID,condition,section,seenRed,seenBlue,e0,e10,e20,e30,e40,e50,e60,e70,e80,e90,e100,age,gender,botCheck,time,chipsOrder,actuallyEstimated
110,unlimited,unlimited,17,4,0.001,0.001,0.0032,0.0023,0.0794,0.1174,0.1254,0.1552,0.4987,0.0149,0.0015,23,male,1,232.35,222122212222122000000,1
111,all,five,4,1,0.0011,0.0179,0.0249,0.0179,0.01,0.014,0.0843,0.242,0.3989,0.1868,0.0021,32,female,1,289.91,22221,1
111,all,prior,0,0,0.0895,0.0894,0.0859,0.0943,0.0862,0.0902,0.0865,0.0946,0.0972,0.0893,0.0969,32,female,1,289.91,,1
111,all,unlimited,18,5,0.0066,0.003,0.0011,0.0031,0.0026,0.0014,0.0565,0.3947,0.455,0.0756,0.0004,32,female,1,289.91,22221222121222200000000,1
112,all,five,4,1,0,0,0.0218,0.0209,0.0282,0.0533,0.1965,0.6005,0.0263,0.0256,0.0269,31,female,1,280.89,22122,1
112,all,prior,0,0,0.0343,0.0343,0.0343,0.0343,0.0343,0.0977,0.1967,0.431,0.0343,0.0343,0.0343,31,female,1,280.89,,1
112,all,unlimited,12,3,0.022,0.022,0.022,0.022,0.022,0.022,0.022,0.1953,0.6067,0.022,0.022,31,female,1,280.89,221221222222212,1
113,all,five,4,1,0.0678,0.0938,0.0027,0.0435,0.0027,0.125,0.3831,0.1094,0.0435,0.1094,0.0193,27,female,1,115.61,21222,1
113,all,prior,0,0,0.0003,0.0435,0.0996,0.0632,0.0799,0.4947,0.0602,0.0086,0.0344,0.0298,0.086,27,female,1,115.61,,1
113,all,unlimited,6,1,0.0007,0.0687,0.1639,0.1474,0.0007,0.1598,0.3514,0.0211,0.0625,0.0232,0.0007,27,female,1,115.61,2122222,1
114,five,five,4,1,0.0267,0.0267,0.0267,0.0287,0.0267,0.0267,0.0267,0.0267,0.0267,0.7313,0.0267,30,male,1,178.77,12222,1
115,all,five,4,1,0.7747,0,0,0.0233,0.059,0,0,0.0539,0.003,0,0.0861,37,female,1,156.88,22212,1
115,all,prior,0,0,0.7813,0.0624,0.0259,0,0.0131,0,0,0.0513,0.029,0.037,0,37,female,1,156.88,,1
115,all,unlimited,9,2,0.8516,0,0,0,0,0.0402,0.0379,0.0013,0.0471,0.0219,0,37,female,1,156.88,22212122222,1
116,all,five,4,1,0.0976,0.0089,0.0532,0.051,0.0377,0.0288,0.1463,0.1552,0.1619,0.1885,0.071,25,male,1,327.02,22221,0
116,all,prior,0,0,0.0333,0.26,0.2374,0.2714,0.1254,0.06,0.0021,0.0014,0.0056,0.0033,0,25,male,1,327.02,,1
116,all,unlimited,9,2,0,0,0,0,0,0.0641,0.3033,0.348,0.2446,0.04,0,25,male,1,327.02,22221221222,1
117,all,five,4,1,0,0,0,0.026,0.0927,0.1417,0.1974,0.3015,0.2408,0,0,33,male,1,507.45,21222,1
117,all,prior,0,0,0.0244,0.04,0.0965,0.2847,0.2214,0.1328,0.112,0.0244,0.0375,0.0201,0.0061,33,male,1,507.45,,1
117,all,unlimited,41,10,0,0,0,0,0,0,0,0,0.1986,0.8014,0,33,male,1,507.45,212222222122221000000000000000000000000000000000000,1
118,five,five,4,1,0.1171,0.0836,0.1729,0.0539,0.0781,0.0019,0.052,0.0874,0.1859,0.0112,0.1561,36,female,1,73.87,22221,0
119,five,five,4,1,0.0073,0,0.0008,0.0019,0.1436,0.2033,0.2654,0.1946,0.119,0.0607,0.0033,26,female,1,70.2,21222,1
120,all,five,4,1,0.036,0.0021,0.0122,0,0,0,0.036,0.0156,0.8981,0,0,30,male,1,115.76,21222,1
120,all,prior,0,0,0.0533,0.0439,0.0439,0.5513,0.0439,0.044,0.0439,0.0439,0.0439,0.0439,0.0439,30,male,1,115.76,,1
120,all,unlimited,12,3,0,0.0381,0.0232,0.0265,0,0,0.0265,0,0,0.8856,0,30,male,1,115.76,212222221222122,1
121,all,five,4,1,0.0253,0.0253,0.0253,0.0253,0.0253,0.0253,0.0253,0.0253,0.7467,0.0253,0.0253,31,female,1,145.51,22221,1
121,all,prior,0,0,0.0139,0.0161,0.057,0.1734,0.1238,0.0419,0.0895,0.3673,0.0419,0.0311,0.0441,31,female,1,145.51,,1
121,all,unlimited,15,4,0.0289,0.0339,0.0017,0.0017,0.0017,0.0017,0.0223,0.0017,0.0017,0.9032,0.0017,31,female,1,145.51,2222122212212220000,1
122,all,five,4,1,0.0003,0.0003,0.1418,0.1034,0.0346,0.4879,0.0507,0.0184,0.073,0.0003,0.0892,50,female,1,95.03,12222,1
122,all,prior,0,0,0.0898,0.006,0.0262,0.0554,0.006,0.491,0.1035,0.1173,0.006,0.076,0.0228,50,female,1,95.03,,1
122,all,unlimited,11,3,0.0417,0.0609,0.082,0.0417,0.0494,0.4912,0.1108,0.1012,0.005,0.005,0.011,50,female,1,95.03,12222212222221,1
123,five,five,4,1,0.0143,0.0343,0.1991,0.0025,0.0722,0.0722,0.0025,0.5955,0.0025,0.0025,0.0025,34,male,1,155.86,12222,1
124,all,five,4,1,0,0,0.01,0.01,0.0322,0.0847,0.1906,0.2997,0.3164,0.0563,0,23,male,1,540.77,22221,1
124,all,prior,0,0,0.017,0.017,0.0727,0.127,0.1818,0.1585,0.1958,0.1192,0.077,0.027,0.007,23,male,1,540.77,,1
124,all,unlimited,46,11,0,0,0,0,0.004,0.004,0.014,0.184,0.61,0.184,0,23,male,1,540.77,222212221222122000000000000000000000000000000000000000000,1
125,unlimited,unlimited,10,2,0.0018,0.0016,0.0002,0.0025,0.0014,0.0012,0.0011,0.5977,0.3898,0.0018,0.0009,30,male,1,214.17,222212122222,1
126,unlimited,unlimited,12,3,0,0,0,0,0.0033,0.0105,0.0267,0.0261,0.8911,0.0423,0,36,female,1,157.78,222121222222212,1
127,five,five,4,1,0.0511,0.1454,0.0079,0.0472,0.1611,0.11,0.0668,0.1002,0.0059,0.11,0.1945,24,male,1,165.03,12222,0
128,five,five,4,1,0,0,0.1921,0,0,0,0.7148,0,0,0,0.0931,34,female,0,92.86,22122,1
129,five,five,4,1,0,0,0.49,0.15,0,0,0.36,0,0,0,0,25,male,1,131.76,22221,1
130,five,five,4,1,0.0017,0.0379,0.0379,0.0379,0.0379,0.0379,0.0379,0.0467,0.3269,0.3953,0.0022,17,female,1,185.23,21222,1
131,five,five,4,1,0.0036,0.0049,0.0012,0.0034,0.0355,0.0355,0.0722,0.5902,0.243,0.0022,0.0082,26,female,1,207.49,22221,1
132,unlimited,unlimited,11,3,0.0009,0.0003,0.0019,0.0015,0.0019,0.003,0.0003,0.0018,0.9842,0.0029,0.0012,36,male,1,351.69,21222122222221,1
133,unlimited,unlimited,62,16,0.006,0.006,0.006,0.006,0.006,0.006,0.006,0.1122,0.7575,0.0857,0.0023,26,male,1,439.74,222212212222122000000000000000000000000000000000000000000000000000000000000000,1
134,five,five,4,1,0,0,0.0031,0,0,0,0,0,0.9969,0,0,28,male,1,152.02,22221,1
135,unlimited,unlimited,45,11,0.0011,0.0024,0.0021,0.0022,0.0016,0.0008,0.0024,0.0033,0.3589,0.6248,0.0004,27,female,1,204.79,22212222212212200000000000000000000000000000000000000000,1
136,all,five,4,1,0.1949,0.0113,0.0898,0.0571,0.1029,0.1504,0.0735,0.0997,0.0669,0.134,0.0195,38,female,1,302.38,12222,1
136,all,prior,0,0,0.1097,0.089,0.1542,0.0652,0.132,0.0715,0.1176,0.1113,0.0811,0.0016,0.0668,38,female,1,302.38,,0
136,all,unlimited,56,13,0.0656,0.0011,0.0011,0.0011,0.0034,0.049,0.1742,0.7011,0.0011,0.0011,0.0011,38,female,1,302.38,122222222121222000000000000000000000000000000000000000000000000000000,1
137,five,five,4,1,0.0047,0.0047,0.0047,0.0047,0.0047,0.0033,0.0901,0.0896,0.7842,0.0047,0.0047,54,male,1,137.5,22221,1
138,five,five,4,1,0.0008,0,0.5984,0.0162,0.2898,0.0933,0,0,0,0,0.0015,57,male,1,152.45,22221,1
139,five,five,4,1,0.01,0.0481,0.0276,0.0208,0.01,0.0167,0.0454,0.0626,0.7389,0.01,0.01,56,female,1,298.8,22122,1
140,unlimited,unlimited,10,2,0.0022,0.0009,0.0005,0.0043,0.0023,0.0032,0.0021,0.0371,0.7968,0.1503,0.0003,26,male,1,155.68,212221222222,1
141,five,five,4,1,0.0743,0.1848,0.1105,0.0914,0.0438,0.1067,0.0286,0.0381,0.1524,0.0076,0.1619,31,male,1,131.79,22122,0
142,unlimited,unlimited,12,3,0.003,0.231,0.4866,0.2587,0.003,0.003,0.003,0.003,0.003,0.003,0.003,26,male,1,90.05,122222221212222,1
143,unlimited,unlimited,5,1,0,0,0,0,0,0,0,0,0.891,0.109,0,52,male,1,158.74,221222,1
144,all,five,4,1,0.001,0.001,0.001,0.001,0.001,0.3988,0.5922,0.001,0.001,0.001,0.001,31,male,1,256.46,12222,1
144,all,prior,0,0,0.0292,0.0292,0.0292,0.1981,0.3889,0.1511,0.0578,0.0292,0.0292,0.0292,0.0292,31,male,1,256.46,,1
144,all,unlimited,12,4,0,0,0,0,0.0015,0.0974,0.5986,0.3025,0,0,0,31,male,1,256.46,1222222122212220,1
145,unlimited,unlimited,10,2,0.1389,0.0694,0.1329,0.0238,0.1448,0.0734,0.125,0.0159,0.0317,0.0952,0.1488,20,female,1,265.22,222212122222,0
146,five,five,4,1,0,0,0,0,0,0.0367,0.1267,0.2481,0.3462,0.2424,0,18,male,1,70.43,22122,1
147,five,five,4,1,0.0173,0.0809,0.1484,0.1869,0.0116,0.1175,0.0096,0.104,0.131,0.1445,0.0482,22,female,1,64.43,22122,0
148,unlimited,unlimited,14,3,0.0007,0.0801,0.0505,0.0007,0.0742,0.0845,0.0007,0.4936,0.0401,0.089,0.086,37,female,1,105.18,22212222212122200,1
149,five,five,4,1,0.0774,0.0574,0.0534,0.1813,0.1194,0.0954,0.1314,0.1034,0,0.0034,0.1774,22,male,1,73.01,12222,1
150,all,five,4,1,0.1017,0.0527,0.162,0.0979,0.1168,0.0169,0.0395,0.0621,0.113,0.1168,0.1205,37,male,1,102.61,22122,0
150,all,prior,0,0,0.1307,0.206,0.0779,0.0126,0.0176,0.1332,0.0503,0.0251,0.0628,0.0553,0.2286,37,male,1,102.61,,0
150,all,unlimited,9,2,0.0823,0.0823,0.0075,0.1347,0.1421,0.1372,0.0474,0.1297,0.0349,0.1571,0.0449,37,male,1,102.61,22122222212,0
151,unlimited,unlimited,44,11,0.0033,0.0149,0.0232,0.04,0.0517,0.0958,0.1278,0.201,0.2387,0.2036,0,21,female,1,391.86,2212222212122220000000000000000000000000000000000000000,1
152,unlimited,unlimited,10,2,0.0139,0.0093,0.0093,0.0093,0.0093,0.0093,0.0093,0.0093,0.0093,0.9021,0.0093,20,male,1,69.45,222122222122,1
153,five,five,4,1,0.0048,0.014,0.0379,0.0659,0.1103,0.1844,0.2164,0.2457,0.08,0.0384,0.0022,20,male,1,197.1,22122,1
154,five,five,4,1,0.0037,0.0037,0.2378,0.0037,0.0037,0.1957,0.0037,0.2975,0.0037,0.2433,0.0037,21,female,1,193.1,21222,1
155,all,five,4,1,0.0251,0,0,0.0427,0.39,0.1484,0.1007,0.1112,0,0.0989,0.0831,29,female,1,186.49,12222,1
155,all,prior,0,0,0.0281,0.1038,0.051,0.0877,0.1841,0.1593,0.0006,0.1015,0.0854,0.0602,0.1382,29,female,1,186.49,,1
155,all,unlimited,10,2,0.002,0.0228,0.1024,0.0079,0.0626,0.002,0.002,0.002,0.7922,0.002,0.002,29,female,1,186.49,122222122222,1
156,unlimited,unlimited,16,5,0.0077,0.0096,0.0146,0.0379,0.0596,0.1101,0.3065,0.3101,0.1279,0.0083,0.0077,43,male,1,273.85,222212212222212000000,1
157,unlimited,unlimited,9,3,0.0317,0,0.1375,0.0018,0.0217,0,0.5945,0,0.0616,0.1175,0.0337,61,male,1,467.5,222211222221,1
158,five,five,4,1,0.0462,0.0288,0.0288,0.0288,0.0288,0.0288,0.0288,0.6948,0.0288,0.0288,0.0288,26,female,1,111.31,22212,1
159,five,five,4,1,0,0.0001,0,0.0676,0.1494,0.2918,0.491,0,0,0,0,32,female,1,160.93,12222,1
160,unlimited,unlimited,12,3,0.021,0.021,0.021,0.021,0.021,0.021,0.021,0.021,0.7948,0.0162,0.021,49,male,1,223.43,222212212222221,1
161,all,five,4,1,0.029,0.0413,0.0708,0,0,0,0.0978,0.0167,0.7444,0,0,34,male,1,185.09,21222,1
161,all,prior,0,0,0.0033,0.0737,0.1026,0.0582,0.1283,0.1631,0.0631,0.1255,0.1026,0.1165,0.0629,34,male,1,185.09,,1
161,all,unlimited,7,2,0,0.0481,0,0,0.016,0.05,0,0,0,0.886,0,34,male,1,185.09,212222122,1
162,unlimited,unlimited,18,4,0.1939,0.0935,0.1262,0.0047,0.1168,0.1636,0.014,0.0631,0.028,0.1939,0.0023,25,female,0,156.2,2221222122122220000000,0
163,five,five,4,1,0.0127,0.0127,0.0127,0.0127,0.0127,0.1865,0.6995,0.0127,0.0127,0.0127,0.0127,32,female,1,89.24,22221,1
164,all,five,4,1,0.0021,0.0021,0.0021,0.0293,0.0504,0.0889,0.1622,0.1991,0.2247,0.1833,0.0556,18,male,1,246.32,22122,1
164,all,prior,0,0,0.0011,0.0225,0.041,0.111,0.1736,0.2611,0.1614,0.1378,0.0589,0.0305,0.0011,18,male,1,246.32,,1
164,all,unlimited,22,6,0.0004,0.0004,0.0032,0.0167,0.0516,0.087,0.1536,0.1904,0.2177,0.1905,0.0886,18,male,1,246.32,2212222122222120000000000000,1
165,all,five,4,1,0.0313,0.1513,0.0574,0.1496,0.1113,0.1304,0.0417,0.0226,0.1148,0.0435,0.1461,28,female,1,187.27,22122,0
165,all,prior,0,0,0.1384,0.112,0.0575,0.0886,0.1524,0.1026,0.1073,0.0824,0.0995,0.0529,0.0062,28,female,1,187.27,,0
165,all,unlimited,11,3,0.1065,0.1832,0.1776,0.0393,0.1533,0.0262,0.0879,0.0019,0.1121,0.0355,0.0766,28,female,1,187.27,22122221222221,0
166,five,five,4,1,0.0742,0.0594,0.0204,0.1614,0.1336,0.154,0.0872,0.0612,0.0186,0.1633,0.0668,34,male,1,129.05,22212,0
167,all,five,4,1,0.0004,0.008,0.008,0.008,0.008,0.008,0.0538,0.0843,0.729,0.09,0.0022,35,female,1,456.27,21222,1
167,all,prior,0,0,0.0077,0.0414,0.066,0.1873,0.5959,0.0689,0.0077,0.0077,0.0022,0.0077,0.0077,35,female,1,456.27,,1
167,all,unlimited,13,3,0.0013,0.0019,0.0061,0.0061,0.0061,0.0007,0.0383,0.1396,0.6722,0.1277,0,35,female,1,456.27,2122212222221220,1
168,all,five,4,1,0,0.0234,0.0238,0.0377,0.0488,0.0538,0.0849,0.1434,0.5271,0.0531,0.0039,25,male,1,576.37,21222,1
168,all,prior,0,0,0.0516,0.291,0.2177,0.1352,0.0992,0.0802,0.1007,0,0,0,0.0244,25,male,1,576.37,,1
168,all,unlimited,14,3,0.005,0.0018,0.002,0.0156,0.0393,0.0941,0.1369,0.1811,0.2993,0.2199,0.005,25,male,1,576.37,21222212222222100,1
169,unlimited,unlimited,26,6,0.0013,0.0063,0.0066,0.0055,0.0045,0.0037,0.0703,0.0848,0.3632,0.452,0.0018,26,male,1,373.22,12222222122221200000000000000000,1
170,all,five,4,1,0.0717,0.1076,0.0916,0.0478,0.0876,0.006,0.1155,0.0518,0.1952,0.1454,0.0797,49,female,1,286.98,22122,0
170,all,prior,0,0,0.0548,0.0866,0.0954,0.0035,0.1307,0.1272,0,0.1254,0.1696,0.1343,0.0724,49,female,1,286.98,,0
170,all,unlimited,4,1,0.068,0.0598,0.0804,0.0887,0,0.099,0.1979,0.0392,0.0289,0.132,0.2062,49,female,1,286.98,22122,0
171,all,five,4,1,0,0,0,0,0.0064,0,0,0.9858,0,0,0.0078,32,female,1,154.58,21222,1
171,all,prior,0,0,0.0446,0.0742,0.0149,0,0.1039,0.3023,0.1138,0.1088,0.0973,0.1352,0.005,32,female,1,154.58,,1
171,all,unlimited,14,3,0,0,0,0,0.0026,0,0,0,0.9974,0,0,32,female,1,154.58,21222221222221200,1
172,unlimited,unlimited,8,2,0.0019,0.0019,0.098,0.0471,0.0711,0.0443,0.1008,0.0768,0.3721,0.0994,0.0867,36,male,1,294.06,2222122212,1
173,all,five,4,1,0.0461,0.0829,0.0184,0.0645,0.0899,0.2097,0.0576,0.2074,0,0.023,0.2005,18,female,1,43.03,21222,0
173,all,prior,0,0,0.0268,0.089,0.0847,0.1271,0.1356,0.1102,0.0593,0.0946,0.0466,0.1398,0.0862,18,female,1,43.03,,0
173,all,unlimited,5,1,0.0022,0.1361,0.054,0.0929,0.0972,0.0972,0.0518,0.1145,0.1404,0.1425,0.0713,18,female,1,43.03,212222,0
174,all,five,4,1,0.0345,0.1439,0.1137,0.1338,0.0259,0.1094,0.0014,0.1281,0.1237,0.0763,0.1094,20,male,1,470.1,22212,0
174,all,prior,0,0,0.2519,0.0442,0.0416,0.013,0.0597,0.2078,0.0494,0.0727,0.039,0.213,0.0078,20,male,1,470.1,,0
174,all,unlimited,5,1,0.2176,0.0411,0.1368,0.0092,0.1475,0.0503,0.1232,0.0933,0.041,0.0821,0.0578,20,male,1,470.1,222122,1
175,unlimited,unlimited,16,4,0.0023,0.001,0.9167,0.0471,0.0265,0.001,0.001,0.001,0.001,0.001,0.0015,24,male,1,154.19,22221222122122200000,1
176,all,five,4,1,0.0072,0.0055,0.0066,0.0041,0.0074,0.0069,0.0045,0.007,0.7956,0.1483,0.007,43,male,1,266.17,21222,1
176,all,prior,0,0,0.0033,0.0033,0.0033,0.0033,0.243,0.4883,0.242,0.0033,0.0033,0.0033,0.0033,43,male,1,266.17,,1
176,all,unlimited,20,4,0.0031,0,0,0,0,0,0,0,0,0.9969,0,43,male,1,266.17,212222221212222000000000,1
177,all,five,4,1,0.0288,0.1787,0.1225,0.0246,0.0267,0.035,0.2813,0.0933,0.01,0.1246,0.0746,28,female,1,178.46,21222,1
177,all,prior,0,0,0,0,0.3461,0.0127,0.1088,0.0873,0.1245,0.2196,0.0461,0.0402,0.0147,28,female,1,178.46,,1
177,all,unlimited,5,1,0.0571,0.0673,0.0774,0.1364,0.2768,0.0335,0.0892,0.02,0.0555,0.1381,0.0487,28,female,1,178.46,212222,1
178,five,five,4,1,0.0007,0.0007,0.0007,0.0007,0.2975,0.0687,0.4601,0.169,0.0007,0.0007,0.0007,22,female,1,232.51,22122,1
179,five,five,4,1,0.0297,0.1253,0.0679,0.1168,0.0212,0.051,0.1741,0.1826,0.0276,0.172,0.0318,65,male,1,136.11,22212,0
180,unlimited,unlimited,4,1,0.0972,0.0509,0.0042,0.0407,0.0407,0.0407,0.4887,0.0491,0.0407,0.0407,0.1061,38,female,0,201.52,22212,1
181,all,five,4,1,0.002,0.0812,0.1308,0.1644,0.1304,0.1321,0.1118,0.0773,0.0742,0.094,0.0018,24,female,0,328.41,12222,1
181,all,prior,0,0,0,0.2573,0.2566,0.1898,0.1482,0.0981,0.0167,0.0133,0.0067,0.0133,0,24,female,0,328.41,,1
181,all,unlimited,16,4,0.0027,0.0313,0.1082,0.1644,0.2055,0.1819,0.1074,0.0916,0.083,0.0238,0.0001,24,female,0,328.41,12222222122222100000,1
182,five,five,4,1,0,0,0,0,0,0.4976,0,0.0007,0.5017,0,0,49,female,0,183.18,21222,1
183,unlimited,unlimited,4,1,0.046,0.046,0.046,0.046,0.046,0.0472,0.583,0.0021,0.046,0.046,0.046,38,male,1,136.27,22221,1
184,five,five,4,1,0,0,0,0,0,0.0487,0.2167,0.3603,0.3403,0.0341,0,35,male,1,118.91,22122,1
185,five,five,4,1,0.0077,0.0077,0.0275,0.0235,0.0402,0.0402,0.0335,0.1615,0.2572,0.3935,0.0077,29,female,1,158.36,12222,1
186,all,five,4,1,0.0008,0.0188,0.0182,0.0671,0.162,0.1679,0.3002,0.1673,0.0718,0.0238,0.0022,28,male,1,252.09,21222,1
186,all,prior,0,0,0.0131,0.0382,0.0693,0.1249,0.1704,0.2089,0.1721,0.1142,0.0526,0.025,0.0113,28,male,1,252.09,,1
186,all,unlimited,14,4,0.0012,0.0009,0.0065,0.0008,0.0023,0.0023,0.0925,0.0923,0.3985,0.4021,0.0006,28,male,1,252.09,212222122221222000,1
187,five,five,4,1,0,0.112,0,0.0395,0,0,0,0,0.6989,0.0828,0.0668,22,female,1,110.68,22212,1
188,all,five,4,1,0,0,0,0.015,0.03,0.0721,0.0971,0.2249,0.3006,0.2603,0,18,male,1,380.66,22221,1
188,all,prior,0,0,0.0007,0.0048,0.0332,0.1209,0.2031,0.2946,0.2016,0.1074,0.0248,0.0082,0.0007,18,male,1,380.66,,1
188,all,unlimited,16,4,0.0007,0.0007,0.0007,0.0007,0.0007,0.0007,0.0007,0.1913,0.6101,0.1927,0.0007,18,male,1,380.66,22221222122122200000,1
189,unlimited,unlimited,22,5,0,0,0,0,0,0,0,0.3874,0.566,0.0467,0,30,male,1,624.06,222212222122221000000000000,1
190,unlimited,unlimited,9,2,0.0007,0.0976,0.0822,0.2962,0.0342,0.172,0.0467,0.1511,0.0279,0.0007,0.0906,51,female,1,546.18,22212122222,1
191,unlimited,unlimited,8,2,0,0,0,0,0,0.0756,0.1509,0.2709,0.4661,0.0365,0,25,female,1,263.22,2212222212,1
192,five,five,4,1,0.0275,0.1044,0.0604,0.0842,0.1502,0.174,0.0458,0.1209,0.1337,0.0256,0.0733,58,female,1,111.95,22122,0
193,five,five,4,1,0.0024,0.026,0.0442,0.056,0.0655,0.0841,0.0929,0.1161,0.3955,0.1161,0.0011,28,female,1,231.99,12222,1
194,five,five,4,1,0.0248,0.0248,0.0248,0.0248,0.0248,0.1742,0.0277,0.0248,0.5953,0.0248,0.0291,23,male,0,115.81,22122,1
195,all,five,4,1,0.0171,0.0305,0.0483,0.0709,0.1142,0.1583,0.1803,0.1453,0.1038,0.0869,0.0444,20,male,1,228.61,12222,1
195,all,prior,0,0,0.0195,0.084,0.0751,0.2106,0.1641,0.1971,0.1151,0.0751,0.0234,0.02,0.016,20,male,1,228.61,,1
195,all,unlimited,13,3,0,0.0178,0.0428,0.0613,0.0773,0.0932,0.1142,0.1494,0.1775,0.1531,0.1133,20,male,1,228.61,1222222212222120,1
196,five,five,4,1,0.0111,0.0111,0.0111,0.0111,0.0111,0.1127,0.1127,0.116,0.4937,0.0983,0.0111,48,female,1,255.27,22221,1
197,five,five,4,1,0.02,0.02,0.02,0.02,0.02,0.0234,0.02,0.02,0.02,0.7966,0.02,24,female,1,115.53,22212,1
198,five,five,4,1,0.0027,0.0027,0.0027,0.0027,0.0027,0.0027,0.1135,0.1906,0.4479,0.1739,0.0581,35,female,1,56.23,22122,1
199,unlimited,unlimited,8,2,0.0129,0.1266,0.0302,0.1266,0.046,0.1065,0.1065,0.1065,0.082,0.1194,0.1367,21,male,1,192.4,1222222221,0
200,five,five,4,1,0.0025,0.0499,0.0633,0.0866,0.1941,0.2321,0.1723,0.1211,0.0737,0.0014,0.0031,20,male,1,377.89,22221,1
201,unlimited,unlimited,11,3,0.0213,0.0213,0.0213,0.0213,0.0213,0.0213,0.0213,0.0213,0.636,0.172,0.0213,20,male,1,151.63,22221212222221,1
202,unlimited,unlimited,7,2,0,0,0,0,0,0.0304,0.095,0.2055,0.4051,0.2641,0,20,male,1,155.2,222212212,1
203,all,five,4,1,0.0688,0.1118,0.0989,0.1376,0.0581,0.0796,0.1183,0.1376,0.0129,0.1677,0.0086,27,male,1,245.39,21222,0
203,all,prior,0,0,0.038,0.0328,0.1382,0.1244,0.0656,0.114,0.1278,0.1261,0.0812,0.0328,0.1192,27,male,1,245.39,,0
203,all,unlimited,15,4,0,0.0753,0.091,0,0,0,0.0231,0.0283,0.7822,0,0,27,male,1,245.39,2122221222212220000,1
204,unlimited,unlimited,14,4,0.0028,0.0123,0.0147,0.0269,0.0229,0.0441,0.1278,0.3481,0.2986,0.1006,0.0011,18,male,1,257.3,222122221221222000,1
205,all,five,4,1,0.0223,0.0311,0.0033,0,0.0004,0.0018,0.0018,0.0297,0.0106,0.8989,0,37,female,1,265.43,21222,1
205,all,prior,0,0,0.0636,0.0615,0,0.0097,0,0,0,0.6411,0.1155,0.02,0.0885,37,female,1,265.43,,1
205,all,unlimited,16,4,0,0.046,0,0.0149,0,0,0,0,0,0.9392,0,37,female,1,265.43,21222122222222100000,1
206,five,five,4,1,0.0313,0.0313,0.0313,0.0313,0.0313,0.0313,0.0313,0.296,0.422,0.0313,0.0313,26,female,1,230.89,12222,1
207,five,five,4,1,0.0022,0.004,0.0007,0.0027,0.0033,0.0025,0.2183,0.4939,0.1969,0.0741,0.0012,31,female,1,129.61,22212,1
208,all,five,4,1,0.0374,0.0815,0.1154,0.0832,0.1494,0.073,0.1171,0.0815,0.129,0.0934,0.039,22,male,1,96.09,21222,0
208,all,prior,0,0,0.0693,0.1108,0.09,0.0693,0.0983,0.1136,0.0873,0.0706,0.1247,0.0374,0.1288,22,male,1,96.09,,0
208,all,unlimited,11,2,0.1138,0.0119,0.0204,0.1596,0.0934,0.1613,0.1647,0.1002,0.1324,0.0102,0.0323,22,male,1,96.09,2122222221222,0
209,unlimited,unlimited,8,2,0.002,0.0015,0.0017,0.0008,0.0021,0.0011,0.0005,0.3151,0.4185,0.2552,0.0015,36,female,1,248.62,2221222122,1
210,all,five,4,1,0,0,0,0.0047,0.1164,0.3168,0.1739,0.1733,0.1648,0.0451,0.0051,33,female,1,240.54,22221,1
210,all,prior,0,0,0.0146,0.0542,0.0571,0.1591,0.261,0.101,0.1364,0.0061,0.1109,0,0.0996,33,female,1,240.54,,1
210,all,unlimited,17,4,0.009,0.0086,0.0051,0.0068,0.0073,0.0206,0.2263,0.2481,0.2437,0.2157,0.0088,33,female,1,240.54,222212222122212000000,1
211,five,five,4,1,0.0005,0.0003,0.0023,0.0001,0.0028,0.0003,0.0003,0,0.0952,0.897,0.0013,21,male,1,162.29,22212,1
212,all,five,4,1,0.0031,0.0031,0.0031,0.0031,0.0586,0.0988,0.0945,0.0912,0.5981,0.0432,0.0031,57,female,1,684.7,21222,NA
212,all,prior,0,0,0.0684,0.1108,0.0963,0.1245,0.0487,0.1135,0.1176,0.1245,0.0643,0.052,0.0793,57,female,1,684.7,,NA
212,all,unlimited,24,6,0.0035,0.0027,0.0016,0.0032,0.0446,0.0413,0.048,0.0503,0.8024,0.0018,0.0005,57,female,1,684.7,212222221222221000000000000000,NA
213,five,five,4,1,0,0,0,0,0.0022,0.9978,0,0,0,0,0,26,male,1,99.99,22212,1
214,all,five,4,1,0.0033,0.0069,0.0151,0.0271,0.0499,0.1042,0.236,0.2959,0.2172,0.042,0.0025,21,male,1,680.43,22221,1
214,all,prior,0,0,0.0038,0.0224,0.0433,0.1001,0.1658,0.3176,0.17,0.0976,0.0466,0.0258,0.0071,21,male,1,680.43,,1
214,all,unlimited,13,3,0,0,0,0,0,0,0.0081,0.0757,0.59,0.3262,0,21,male,1,680.43,2222122221212220,1
215,unlimited,unlimited,13,4,0,0,0,0,0,0.0826,0.1881,0.3118,0.4175,0,0,23,male,1,155.66,12222122222122200,1
216,unlimited,unlimited,6,2,0.0008,0.0031,0.093,0.1017,0.0927,0.0016,0.0016,0.7033,0.0011,0.001,0.0001,52,male,0,391.83,22221221,1
217,five,five,4,1,0.0007,0.0007,0.0007,0.0007,0.0007,0.0007,0.0007,0.2002,0.7938,0.0007,0.0007,36,female,1,253.2,22221,1
218,all,five,4,1,0,0,0,0.0077,0,0,0,0,0.9923,0,0,54,female,1,213.11,22221,1
218,all,prior,0,0,0.2099,0,0.0793,0.0193,0.0036,0.4801,0.0637,0.0532,0.0219,0,0.0689,54,female,1,213.11,,1
