"","pID","condition","section","seenRed","seenBlue","e0","e10","e20","e30","e40","e50","e60","e70","e80","e90","e100","age","gender","botCheck","time","chipsOrder","actuallyEstimated","selected","beta","gamma","delta","value"
"11","122","all","unlimited",11,3,0.0465807730426165,0.063879628795387,0.0828903504820254,0.0465807730426165,0.0535183349851338,0.451572213712947,0.108838634111181,0.100189206234796,0.013514731056852,0.013514731056852,0.0189206234795928,50,"female",1,95.03,12222212222221,1,14,0.750371369267611,0.00763118646164409,0.224544301584864,0.00629550648360219
"12","124","all","unlimited",46,11,0.00900900900900901,0.00900900900900901,0.00900900900900901,0.00900900900900901,0.0126126126126126,0.0126126126126126,0.0216216216216216,0.174774774774775,0.558558558558559,0.174774774774775,0.00900900900900901,23,"male",1,540.77,2.22212221222122e+56,1,57,0.9999999,0.532987647462824,0.408256950110737,0.00215374325495754
"13","144","all","unlimited",12,4,0.00900900900900901,0.00900900900900901,0.00900900900900901,0.00900900900900901,0.0103603603603604,0.0967567567567567,0.548288288288288,0.281531531531531,0.00900900900900901,0.00900900900900901,0.00900900900900901,31,"male",1,256.46,1222222122212220,1,16,1e-07,2.70566202085735,4.8927447606907,0.00184201151248198
"14","155","all","unlimited",10,2,0.0108117848454816,0.029552211910983,0.101270384719344,0.0161275790611767,0.0654112983151635,0.0108117848454816,0.0108117848454816,0.0108117848454816,0.722767816920443,0.0108117848454816,0.0108117848454816,29,"female",1,186.49,122222122222,1,12,1e-07,5.20577053078116,5.96360817052231,0.0377300664639277
"15","161","all","unlimited",7,2,0.00900819745968832,0.0523376272407891,0.00900819745968832,0.00900819745968832,0.0234213133951896,0.0540491847581299,0.00900819745968832,0.00900819745968832,0.00900819745968832,0.807134492388073,0.00900819745968832,34,"male",1,185.09,212222122,1,9,0.9999999,2.43776196945481,1e-07,0.0213637685839366
"16","164","all","unlimited",22,6,0.00936852535807585,0.00936852535807585,0.0118908206467886,0.0240518872173678,0.05549049635168,0.0873795153589767,0.147374110440501,0.180524277092154,0.205116656157103,0.180614359066751,0.0888208269525268,18,"male",1,246.32,2.21222212222212e+27,1,28,1e-07,0.113207114616032,0.0931211762952937,0.00966718233960952
"17","167","all","unlimited",13,3,0.0101801801801802,0.0107207207207207,0.0145045045045045,0.0145045045045045,0.0145045045045045,0.00963963963963964,0.0435135135135135,0.134774774774775,0.614594594594595,0.124054054054054,0.00900900900900901,35,"female",1,456.27,2122212222221220,1,16,1e-07,2.48563374397957,2.49768422685507,0.00665044538565415
"18","168","all","unlimited",14,3,0.0135135135135135,0.0106306306306306,0.0108108108108108,0.0230630630630631,0.0444144144144144,0.0937837837837838,0.132342342342342,0.172162162162162,0.278648648648649,0.207117117117117,0.0135135135135135,25,"male",1,576.37,21222212222222100,1,17,1e-07,0.253907656570878,0.245051080051811,0.00346232832022504
"19","171","all","unlimited",14,3,0.00900900900900901,0.00900900900900901,0.00900900900900901,0.00900900900900901,0.0113513513513514,0.00900900900900901,0.00900900900900901,0.00900900900900901,0.907567567567568,0.00900900900900901,0.00900900900900901,32,"female",1,154.58,21222221222221200,1,17,1e-07,5.80917037707882,6.20193719226301,0.0025410913311598
"20","176","all","unlimited",20,4,0.0118018018018018,0.00900900900900901,0.00900900900900901,0.00900900900900901,0.00900900900900901,0.00900900900900901,0.00900900900900901,0.00900900900900901,0.00900900900900901,0.907117117117117,0.00900900900900901,43,"male",1,266.17,2.12222221212222e+23,1,24,0.9999999,1.22472516167392,1e-07,0.00404127266449686
"21","177","all","unlimited",5,1,0.0604504504504504,0.0696396396396396,0.0787387387387387,0.131891891891892,0.258378378378378,0.0391891891891892,0.0893693693693694,0.027027027027027,0.059009009009009,0.133423423423423,0.0528828828828829,28,"female",1,178.46,212222,1,6,9.99999999473644e-08,0.0386105688502486,0.302782168008442,0.0465081415447708
"22","18","all","unlimited",9,3,0.00900900900900901,0.00900900900900901,0.0116216216216216,0.00900900900900901,0.00900900900900901,0.00900900900900901,0.00900900900900901,0.00900900900900901,0.907297297297297,0.00900900900900901,0.00900900900900901,60,"female",1,234.5,122221222221,1,12,1e-07,9.02867579747518,6.19658052210177,0.00256071254562139
"23","186","all","unlimited",14,4,0.0100900900900901,0.00981981981981982,0.0148648648648649,0.00972972972972973,0.0110810810810811,0.0110810810810811,0.0923423423423423,0.0921621621621621,0.368018018018018,0.371261261261261,0.00954954954954955,28,"male",1,252.09,212222122221222016,1,18,1e-07,0.782072802507413,0.434493337262464,0.00935068969935669
"24","188","all","unlimited",16,4,0.00964224565197801,0.00964224565197801,0.00964224565197801,0.00964224565197801,0.00964224565197801,0.00964224565197801,0.00964224565197801,0.18140037848067,0.558799675587997,0.182661980715509,0.00964224565197801,18,"male",1,380.66,22221222122122199040,1,20,1e-07,1.61059655157284,1.47431954450224,0.00179962721407731
"25","19","all","unlimited",22,5,0.00900900900900901,0.0623423423423423,0.00900900900900901,0.00900900900900901,0.112522522522523,0.00900900900900901,0.0330630630630631,0.638018018018018,0.1,0.00900900900900901,0.00900900900900901,31,"male",1,740.5,2.22212212221222e+26,1,27,0.9999999,2.6798870877674,5.06830922565071,0.0305743042921016
"26","195","all","unlimited",13,3,0.00900982070456798,0.025047301558699,0.0475718533201189,0.0642400216235697,0.0786557347508784,0.0929813496711415,0.111901973150734,0.143616542030814,0.16893413821065,0.146950175691504,0.111091089287323,20,"male",1,228.61,1222222212222120,1,16,1e-07,0.065023695905567,0.0236682808584776,0.0148804707210907
"27","205","all","unlimited",16,4,0.00900819745968832,0.0504459057742546,0.00900819745968832,0.0224304116746239,0.00900819745968832,0.00900819745968832,0.00900819745968832,0.00900819745968832,0.00900819745968832,0.855058102873615,0.00900819745968832,37,"female",1,265.43,21222122222222098432,1,20,0.428643689632422,1.53591535681573,1e-07,0.0116846815707002
"28","210","all","unlimited",17,4,0.0171171171171171,0.0167567567567568,0.0136036036036036,0.0151351351351351,0.0155855855855856,0.0275675675675676,0.212882882882883,0.232522522522523,0.228558558558559,0.203333333333333,0.0169369369369369,33,"female",1,240.54,2.22212222122212e+20,1,21,1e-07,0.283390527096241,0.318382476361234,0.00952320336348935
"29","212","all","unlimited",24,6,0.0121632579511668,0.0114424722948013,0.0104513920172989,0.0118929633300297,0.0491936210469412,0.0462203802144337,0.0522569600864943,0.0543292188485449,0.731957834039103,0.0106315884313902,0.00946031173979638,57,"female",1,684.7,2.12222221222221e+29,NA,30,1e-07,2.07846938186206,1.973230436386,0.0212579970371209
"30","214","all","unlimited",13,3,0.00900900900900901,0.00900900900900901,0.00900900900900901,0.00900900900900901,0.00900900900900901,0.00900900900900901,0.0163063063063063,0.0772072072072072,0.540540540540541,0.302882882882883,0.00900900900900901,21,"male",1,680.43,2222122221212220,1,16,1e-07,2.37763581270245,2.01287428885193,0.0025436346539279
"31","218","all","unlimited",4,1,0.0643243243243243,0.0472072072072072,0.0777477477477478,0.0813513513513514,0.011981981981982,0.460720720720721,0.0508108108108108,0.0520720720720721,0.0606306306306306,0.0520720720720721,0.0410810810810811,54,"female",1,213.11,22221,1,5,0.737428128371475,1e-07,1e-07,0.0119983893089945
"32","224","all","unlimited",18,5,0.00900900900900901,0.00900900900900901,0.00900900900900901,0.00900900900900901,0.00900900900900901,0.00900900900900901,0.00900900900900901,0.459189189189189,0.45972972972973,0.00900900900900901,0.00900900900900901,20,"male",1,156.77,2.21222221222122e+22,1,23,0.500072441856895,2.42476705010683,2.87222021892802,0.0021501070948399
"33","226","all","unlimited",12,3,0.00900900900900901,0.00900900900900901,0.020990990990991,0.0420720720720721,0.084054054054054,0.137747747747748,0.161441441441441,0.189369369369369,0.217387387387387,0.11990990990991,0.00900900900900901,34,"male",1,262.32,222212221222212,1,15,1e-07,0.228386884618806,0.330078225892816,0.00140975527709106
"34","235","all","unlimited",12,3,0.0117106566975948,0.014683361859292,0.0271146743536618,0.0326096748040717,0.0410773804161787,0.0455814791460229,0.0495450860282857,0.126114764435636,0.593009638771282,0.0495450860282857,0.00900819745968832,38,"female",1,239.26,212222222122221,1,15,0.9999999,2.96002226777375,2.98140663122516,0.0178417919097075
"35","236","all","unlimited",16,4,0.011259232570708,0.031075481895154,0.0367501351107909,0.043145379210953,0.0503512880562061,0.0566564582958026,0.0598090434156008,0.235633219239777,0.233111151143938,0.232210412538281,0.00999819852278869,19,"male",1,475.58,22221221221222199296,1,20,1e-07,0.196121058521996,0.121987849872735,0.0120707494571961
"36","243","all","unlimited",20,5,0.00900900900900901,0.00900900900900901,0.00900900900900901,0.00900900900900901,0.00900900900900901,0.00900900900900901,0.00900900900900901,0.00900900900900901,0.907207207207207,0.0117117117117117,0.00900900900900901,22,"male",1,485.18,2.12222212222212e+24,1,25,0.00467489564426402,4.05799620588081,3.6991079113511,0.00237909226391744
"37","245","all","unlimited",38,10,0.00900819745968832,0.00900819745968832,0.00900819745968832,0.00900819745968832,0.0150436897576795,0.0480136924601387,0.087109269435186,0.173587965048194,0.377803801459328,0.253400594541032,0.00900819745968832,23,"male",1,297.51,2.22122122222221e+47,1,48,1e-07,0.260341243127577,0.208490208291987,0.00509020802289576
"38","248","all","unlimited",20,5,0.00900900900900901,0.00900900900900901,0.00900900900900901,0.00900900900900901,0.00900900900900901,0.00900900900900901,0.011981981981982,0.0990990990990991,0.726126126126126,0.0997297297297297,0.00900900900900901,42,"male",1,318.56,2.22212122212222e+24,1,25,0.916361076080321,2.28506856131009,2.08993899479121,0.00155583728554189
"39","252","all","unlimited",59,15,0.00945860733267273,0.00945860733267273,0.00945860733267273,0.0642284478875777,0.0908927123682551,0.11098099270336,0.212683542023241,0.212593460048644,0.16385911179173,0.1069273038465,0.00945860733267273,41,"male",1,710.21,2.22212221222122e+73,1,74,0.9999999,0.0510591259240108,0.0869262076606373,0.00230136621088552
"40","257","all","unlimited",13,3,0.0106325464047576,0.0134258424941431,0.0117138223103262,0.0105424400792936,0.0115336096593981,0.0106325464047576,0.0364930618129393,0.0991169580104523,0.468913317714904,0.314741394845918,0.0122544602631105,32,"male",1,284.67,2122222122122220,1,16,0.9999999,1.59462875537792,1.00294561815057,0.00460602275566612
"41","259","all","unlimited",21,5,0.00937105784826095,0.00937105784826095,0.00937105784826095,0.00937105784826095,0.00937105784826095,0.00937105784826095,0.0608217696882321,0.39403496125428,0.380338799783745,0.0992070643359164,0.00937105784826095,26,"male",1,1129.6,2.22212222122122e+25,1,26,0.9999999,0.809726203792089,1.03882611623516,0.0061493483154434
"42","260","all","unlimited",12,3,0.0105405405405405,0.0333333333333333,0.0118918918918919,0.0105405405405405,0.0333333333333333,0.0105405405405405,0.0548648648648649,0.0535135135135135,0.730810810810811,0.0199099099099099,0.0307207207207207,28,"female",1,111.44,212222222112222,1,15,1e-07,4.1182377541745,3.87787199641251,0.019035464234793
"43","264","all","unlimited",12,4,0.0114393802918393,0.0789047018555215,0.101873536299766,0.112682399567645,0.111601513240857,0.0789047018555215,0.106107007746352,0.302648171500631,0.0518825436858224,0.0272023058908305,0.0167537380652135,19,"female",1,636.8,2122222221212220,1,16,1e-07,0.0707076613513763,0.185902485684593,0.0417907738506447
"44","269","all","unlimited",4,1,0.106206648049725,0.132150256733628,0.0399963967210161,0.168183046572381,0.142149355913882,0.0700837762363751,0.0630573822178182,0.0340509863976218,0.0499954959012701,0.0399963967210161,0.154130258535267,25,"male",1,211.86,22122,1,5,0.499999999999935,0.0226712543004127,0.568132417555358,0.0554688975507255
"45","27","all","unlimited",11,3,0.00900982070456798,0.0818091719974773,0.00900982070456798,0.0896477160104514,0.0802775024777007,0.07090728894495,0.00900982070456798,0.100639697270024,0.451752410127038,0.0865843769708983,0.0113523740877557,22,"male",1,160.41,22212122222212,1,14,1e-07,2.00430964372824,1.73776022117177,0.0630733321040377
"46","277","all","unlimited",10,3,0.060895414827493,0.00972885325646338,0.0311683632105216,0.00900819745968832,0.00900819745968832,0.00900819745968832,0.00900819745968832,0.820466624628412,0.00900819745968832,0.0130618863165481,0.0196378704621205,36,"female",1,153.37,2122222221212,1,13,0.184147213551493,7.57375142017924,10.4791014106231,0.0142611204826455
"47","279","all","unlimited",22,6,0.0136924601387262,0.0136924601387262,0.0136924601387262,0.0136924601387262,0.0136924601387262,0.0136924601387262,0.0136924601387262,0.152058373119539,0.59075758940636,0.147644356364292,0.0136924601387262,20,"female",1,587.02,2.21222212222221e+27,1,28,0.457323422787298,1.45768304576683,1.18079810479904,0.00428976166070675
"48","282","all","unlimited",12,3,0.00963703503557597,0.00963703503557597,0.00963703503557597,0.00963703503557597,0.00963703503557597,0.00963703503557597,0.00963703503557597,0.283076645951545,0.357651085292263,0.282175988471584,0.00963703503557597,28,"female",1,283.98,222121222221222,1,15,1e-07,0.945889569201776,0.807742995234878,0.00957764069462395
"49","288","all","unlimited",12,3,0.00900900900900901,0.172432432432432,0.587387387387387,0.168108108108108,0.00900900900900901,0.00900900900900901,0.00900900900900901,0.00900900900900901,0.00900900900900901,0.00900900900900901,0.00900900900900901,19,"male",1,93.6,222212221222212,1,15,0.248971785276311,0.549213803749279,9.63401526162645,0.0015241775843822
"50","289","all","unlimited",15,4,0.00900900900900901,0.00900900900900901,0.00900900900900901,0.00900900900900901,0.00900900900900901,0.00900900900900901,0.00900900900900901,0.00900900900900901,0.233333333333333,0.685585585585586,0.00900900900900901,43,"male",1,296.22,2212212222212219904,1,19,1e-07,1.39466155360651,0.519567463575223,0.00223551074698665
"51","29","all","unlimited",8,2,0.0108108108108108,0.0203603603603604,0.134234234234234,0.0533333333333333,0.120990990990991,0.129279279279279,0.120990990990991,0.139189189189189,0.0699099099099099,0.178828828828829,0.0220720720720721,40,"male",1,170.87,2212222122,1,10,0.0724170082055965,0.0507340316618991,1e-07,0.0131167572640997
"52","290","all","unlimited",24,6,0.00999909918025403,0.00999909918025403,0.00999909918025403,0.00999909918025403,0.00999909918025403,0.0155841816052608,0.0215295919286551,0.100081073777137,0.702188991982704,0.100621565624718,0.00999909918025403,31,"male",1,1142.11,2.21222222122221e+29,1,30,0.665061020100837,1.86172076379763,1.61116121187657,0.00406282113610735
"53","298","all","unlimited",27,7,0.0093702135327507,0.0108117848454816,0.00955040994684206,0.00909991891161366,0.00964050815388774,0.0118929633300297,0.0109018830525273,0.158302549779259,0.544913956212271,0.216145598702586,0.0093702135327507,21,"female",1,585.42,2.12222212222122e+33,1,34,0.760583182607697,1.01752818989187,0.848016170906981,0.0019991765227566
"54","3","all","unlimited",13,3,0.0402738985494189,0.0344175150914497,0.00900982070456798,0.0812685827552032,0.113163348049374,0.100819893684116,0.183980538787278,0.156680782052437,0.13325524822056,0.0918100729795477,0.0553202991260474,31,"female",1,329.47,2212212222122220,1,16,1e-07,0.131121649685725,0.280963981691442,0.0095412227615823
"55","31","all","unlimited",10,3,0.0113503287992073,0.0100891811548509,0.184217638050626,0.00990901720565715,0.00900819745968832,0.00900819745968832,0.0102693451040447,0.0102693451040447,0.727862354742816,0.00900819745968832,0.00900819745968832,42,"male",1,247.88,1222222212212,1,13,1e-07,5.26916074292376,4.02785763393863,0.0557573188678711
"56","311","all","unlimited",8,2,0.0109018830525273,0.00900982070456798,0.0582935399585548,0.0380214433732769,0.00900982070456798,0.0339670240562213,0.00900982070456798,0.0272096585277953,0.727182629065682,0.0258581854221101,0.0515361744301288,28,"female",1,149.04,2122222221,1,10,1e-07,6.35861153286387,5.83296307709398,0.0249292141441835
"57","314","all","unlimited",4,1,0.0122522522522523,0.0122522522522523,0.0122522522522523,0.0122522522522523,0.0122522522522523,0.0122522522522523,0.266576576576577,0.365045045045045,0.27036036036036,0.0122522522522523,0.0122522522522523,21,"female",1,320.2,22212,1,5,0.313590547996295,4.69224832776458,6.2539053926276,0.00196922410659268
"58","319","all","unlimited",8,2,0.00900900900900901,0.00900900900900901,0.00900900900900901,0.00900900900900901,0.00900900900900901,0.076036036036036,0.12981981981982,0.235405405405405,0.332432432432432,0.172252252252252,0.00900900900900901,21,"female",1,259.71,2122222221,1,10,0.9999999,1.07741517137545,0.568071386260109,0.00126862028984774
"59","321","all","unlimited",15,3,0.00900900900900901,0.00900900900900901,0.00900900900900901,0.00900900900900901,0.00900900900900901,0.00900900900900901,0.0583783783783784,0.150900900900901,0.382162162162162,0.345495495495495,0.00900900900900901,26,"nonbinary",1,321.3,222122212222121984,1,18,0.334607635464149,0.761329594582569,0.6352660401794,0.00115114756111476
"60","325","all","unlimited",20,5,0.00900900900900901,0.00900900900900901,0.00900900900900901,0.00900900900900901,0.00900900900900901,0.00900900900900901,0.0527927927927928,0.171801801801802,0.657387387387387,0.0549549549549549,0.00900900900900901,28,"male",1,635,2.22122122212222e+24,1,25,1e-07,1.82177119238918,1.82201614049799,0.0061027712896796
"61","327","all","unlimited",17,4,0.00900900900900901,0.00900900900900901,0.00900900900900901,0.00900900900900901,0.00900900900900901,0.00900900900900901,0.00900900900900901,0.00900900900900901,0.467387387387387,0.451531531531531,0.00900900900900901,24,"male",1,351.7,2.21221222222122e+20,1,21,0.400933983592415,2.48073156678267,1.80166659306769,0.00235612645165089
"62","335","all","unlimited",6,1,0.0442342342342342,0.0936036036036036,0.138738738738739,0.204324324324324,0.195855855855856,0.0374774774774775,0.0407207207207207,0.0773873873873874,0.0900900900900901,0.0565765765765766,0.020990990990991,33,"female",1,268.1,1222222,1,7,0.554589526677342,0.0251833070532779,0.2523918271213,0.0106577332580986
"63","337","all","unlimited",20,5,0.0330630630630631,0.0330630630630631,0.036036036036036,0.0100900900900901,0.00900900900900901,0.048018018018018,0.0492792792792793,0.039009009009009,0.724414414414414,0.00900900900900901,0.00900900900900901,46,"male",1,561.46,1.22221222212222e+24,1,25,0.9999999,2.43225580050743,2.28573577476536,0.025317353615522
"64","339","all","unlimited",9,3,0.0906387962879539,0.130282007388053,0.00991080277502478,0.128480043247139,0.455987025858185,0.00991080277502478,0.00991080277502478,0.132083971528967,0.00991080277502478,0.0129741418145779,0.00991080277502478,47,"female",1,373.21,122221222212,1,12,0.907884480147779,0.394171704700202,1.12870895374795,0.0335037305650766
"65","348","all","unlimited",8,2,0.00900900900900901,0.00900900900900901,0.011981981981982,0.0279279279279279,0.0540540540540541,0.0720720720720721,0.105135135135135,0.214234234234234,0.230990990990991,0.256576576576577,0.00900900900900901,30,"male",1,281.02,1222222221,1,10,0.237814637959878,0.418872619428409,0.209330182436516,0.00179759197760046
"66","350","all","unlimited",30,8,0.00954954954954955,0.00954954954954955,0.0115315315315315,0.00945945945945946,0.0244144144144144,0.0213513513513513,0.057027027027027,0.213243243243243,0.407657657657658,0.225405405405405,0.0108108108108108,19,"female",1,281.16,2.12222212222122e+37,1,38,0.716114824076477,0.435550476044797,0.346435160272666,0.00254517860079247
"67","352","all","unlimited",13,3,0.0102684201044857,0.0102684201044857,0.0102684201044857,0.0102684201044857,0.0102684201044857,0.0102684201044857,0.0102684201044857,0.453611961808683,0.453972257250946,0.0102684201044857,0.0102684201044857,21,"female",1,413.47,2222122212221220,1,16,0.9999999,3.02317987486812,4.3089550122545,0.00251091410629695
"68","354","all","unlimited",4,1,0.016037480854131,0.0109919812595729,0.0117127669159384,0.011532570501847,0.0122533561582125,0.262636273538157,0.175331110910893,0.225696008649428,0.207946661861429,0.0116226687088927,0.0542391206414992,43,"male",1,230.71,12222,1,5,0.733037430389522,2.73983729571907,4.2222031304027,0.0069581650016862
"69","363","all","unlimited",11,2,0.00900982070456798,0.00900982070456798,0.0712676817731327,0.00900982070456798,0.0203621947923236,0.0560410847824128,0.00900982070456798,0.72700243265159,0.00900982070456798,0.00900982070456798,0.0712676817731327,28,"female",1,172.32,1222222221222,1,13,0.9999999,7.41010393360447,18.3147143769092,0.0342042978177749
"70","365","all","unlimited",11,2,0.331411584541933,0.110440500855779,0.111791730474732,0.0463021349427979,0.00900819745968832,0.0142329519863075,0.0741374650932348,0.00900819745968832,0.121610665705792,0.0769300063057382,0.0951265651743086,33,"female",1,147.53,2221221222222,1,13,1e-07,1e-07,1e-07,0.155964865568109
"71","369","all","unlimited",12,4,0.00900900900900901,0.00900900900900901,0.00900900900900901,0.00900900900900901,0.0111711711711712,0.00900900900900901,0.907747747747748,0.00900900900900901,0.00900900900900901,0.00900900900900901,0.00900900900900901,48,"male",1,155.52,2122221222221220,1,16,0.320099887934524,10.059597492758,19.0484106454272,0.00252983611168342
"72","370","all","unlimited",84,21,0.0119809026213855,0.0150436897576795,0.0180163949193766,0.0209891000810738,0.0256733627601117,0.0557607422754707,0.118818124493289,0.229799117196649,0.334834699576615,0.159715340960274,0.00936852535807585,24,"female",1,1882.74,2.22211222222221e+104,1,105,1e-07,0.0957154410914697,0.10258605934149,0.00441713915745411
"73","372","all","unlimited",30,8,0.018018018018018,0.018018018018018,0.018018018018018,0.0218918918918919,0.018018018018018,0.018018018018018,0.018018018018018,0.018018018018018,0.815945945945946,0.018018018018018,0.018018018018018,36,"female",1,273.52,2.12222222112222e+37,1,38,0.979212186345046,1.58469794391546,1.35940997421795,0.00665199968067039
"74","378","all","unlimited",13,3,0.0119809026213855,0.0104495090532384,0.0140527880371138,0.0110800828754166,0.0120709845959823,0.0720655796775065,0.117827222772723,0.182596162507882,0.280515268894694,0.196919196468787,0.0904423024952707,21,"male",1,169.56,2212222221222210,1,16,1e-07,0.362882955578036,0.355660045860873,0.0128109211784938
"75","379","all","unlimited",47,11,0.00900900900900901,0.00900900900900901,0.00927927927927928,0.0161261261261261,0.0307207207207207,0.0573873873873874,0.15036036036036,0.259459459459459,0.262342342342342,0.148828828828829,0.0474774774774775,33,"female",1,603.95,1.22221222222122e+57,1,58,1e-07,0.130705594663193,0.167188405171137,0.00435896924430757
"76","38","all","unlimited",4,1,0.0137837837837838,0.00927927927927928,0.0107207207207207,0.0528828828828829,0.0842342342342342,0.0990990990990991,0.124504504504505,0.169459459459459,0.245045045045045,0.174864864864865,0.0161261261261261,46,"male",1,347.91,21222,1,5,1e-07,0.551623003338245,0.46027396967839,0.00381732911838165
"77","380","all","unlimited",4,1,0.0678439499053969,0.0415352734480584,0.0539688260203622,0.0467609694567078,0.0265789710784755,0.0559509865753671,0.0519866654653572,0.240832507433102,0.298675556356429,0.0559509865753671,0.0599153076853771,27,"male",1,207.14,22122,1,5,1e-07,2.31113159567625,2.8241667520132,0.0385701036571839
"78","384","all","unlimited",21,5,0.0128828828828829,0.00954954954954955,0.0103603603603604,0.00900900900900901,0.00954954954954955,0.0125225225225225,0.0133333333333333,0.0547747747747748,0.815855855855856,0.0388288288288288,0.0133333333333333,25,"male",1,308.11,2.21222212222221e+25,1,26,9.07197562218423e-06,2.77250619047028,2.70287539630832,0.00373660438096952
"79","392","all","unlimited",24,6,0.00900900900900901,0.00900900900900901,0.00900900900900901,0.0117117117117117,0.00900900900900901,0.00900900900900901,0.00900900900900901,0.00900900900900901,0.907207207207207,0.00900900900900901,0.00900900900900901,30,"male",1,447.31,2.12222222122221e+29,1,30,0.778715362486643,3.39933115474694,3.01917435465072,0.00256716937096634
"80","394","all","unlimited",36,10,0.00937105784826095,0.0106325464047576,0.00919084519733285,0.0109929717066138,0.0101820147774374,0.00919084519733285,0.00901063254640476,0.292665345107227,0.455577581546225,0.174175527122004,0.00901063254640476,23,"female",1,406.4,1.22222122222212e+45,1,46,0.359172132371956,0.67693301029387,0.529314612779074,0.00182137254960816
"81","397","all","unlimited",25,7,0.00900900900900901,0.00900900900900901,0.00900900900900901,0.00900900900900901,0.00900900900900901,0.0115315315315315,0.00900900900900901,0.00900900900900901,0.907387387387387,0.00900900900900901,0.00900900900900901,37,"male",1,183.68,2.12222212222221e+31,1,32,0.425047810562846,3.25126144033636,2.65644396866117,0.0025541502152508
"82","40","all","unlimited",28,7,0.00945945945945946,0.0112612612612613,0.0103603603603604,0.0118018018018018,0.086036036036036,0.278828828828829,0.55045045045045,0.00972972972972973,0.010990990990991,0.00936936936936937,0.0117117117117117,41,"female",1,436.36,1.22222122212222e+34,1,35,0.9999999,1.43567263992005,4.30415656394509,0.0029897457757612
"83","406","all","unlimited",20,5,0.0105405405405405,0.00918918918918919,0.00936936936936937,0.0105405405405405,0.00936936936936937,0.0106306306306306,0.0967567567567567,0.196126126126126,0.589189189189189,0.0492792792792793,0.00900900900900901,31,"female",1,291.6,2.22121222212222e+24,1,25,0.9999999,1.46739897916887,1.3945182690163,0.00279689260567452
