"","pID","condition","section","seenRed","seenBlue","e0","e10","e20","e30","e40","e50","e60","e70","e80","e90","e100","age","gender","botCheck","time","chipsOrder","actuallyEstimated","selected"
"51","172","unlimited","unlimited",8,2,0.0019,0.0019,0.098,0.0471,0.0711,0.0443,0.1008,0.0768,0.3721,0.0994,0.0867,36,"male",1,294.06,2222122212,1,10
"52","175","unlimited","unlimited",16,4,0.0023,0.001,0.9167,0.0471,0.0265,0.001,0.001,0.001,0.001,0.001,0.0015,24,"male",1,154.19,22221222122122199040,1,20
"53","183","unlimited","unlimited",4,1,0.046,0.046,0.046,0.046,0.046,0.0472,0.583,0.0021,0.046,0.046,0.046,38,"male",1,136.27,22221,1,5
"54","189","unlimited","unlimited",22,5,0,0,0,0,0,0,0,0.3874,0.566,0.0467,0,30,"male",1,624.06,2.22212222122221e+26,1,27
"55","190","unlimited","unlimited",9,2,7e-04,0.0976,0.0822,0.2962,0.0342,0.172,0.0467,0.1511,0.0279,7e-04,0.0906,51,"female",1,546.18,22212122222,1,11
"56","191","unlimited","unlimited",8,2,0,0,0,0,0,0.0756,0.1509,0.2709,0.4661,0.0365,0,25,"female",1,263.22,2212222212,1,10
"57","201","unlimited","unlimited",11,3,0.0213,0.0213,0.0213,0.0213,0.0213,0.0213,0.0213,0.0213,0.636,0.172,0.0213,20,"male",1,151.63,22221212222221,1,14
"58","202","unlimited","unlimited",7,2,0,0,0,0,0,0.0304,0.095,0.2055,0.4051,0.2641,0,20,"male",1,155.2,222212212,1,9
"59","204","unlimited","unlimited",14,4,0.0028,0.0123,0.0147,0.0269,0.0229,0.0441,0.1278,0.3481,0.2986,0.1006,0.0011,18,"male",1,257.3,222122221221222016,1,18
"60","209","unlimited","unlimited",8,2,0.002,0.0015,0.0017,8e-04,0.0021,0.0011,5e-04,0.3151,0.4185,0.2552,0.0015,36,"female",1,248.62,2221222122,1,10
"61","215","unlimited","unlimited",13,4,0,0,0,0,0,0.0826,0.1881,0.3118,0.4175,0,0,23,"male",1,155.66,12222122222122200,1,17
"62","223","unlimited","unlimited",12,3,0.002,0,0,0,0,0,0,0,0.998,0,0,33,"female",1,243.69,212222212212222,1,15
"63","227","unlimited","unlimited",26,6,0.042,0.0071,0.023,0,0,0.0388,0.023,0,0.7956,0.0705,0,42,"female",1,132.1,2.22212221221222e+31,1,32
"64","228","unlimited","unlimited",4,1,0.0107,0.0107,0.0107,0.086,0.0799,0.1523,0.2272,0.246,0.1586,0.0072,0.0107,30,"male",1,123.19,21222,1,5
"65","230","unlimited","unlimited",20,5,0.0032,0.0071,0.01,0.0099,0.0093,0.0127,0.0251,0.0801,0.7462,0.0955,9e-04,23,"male",1,301.48,2.22212222121222e+24,1,25
"66","241","unlimited","unlimited",7,2,0,0,0,0,0,0,0.25,0.3336,0.3172,0.0992,0,19,"male",1,143.5,212222212,1,9
"67","246","unlimited","unlimited",13,3,4e-04,4e-04,4e-04,4e-04,4e-04,4e-04,4e-04,0.09,0.8154,0.0917,4e-04,37,"female",1,166.02,2122222212222210,1,16
"68","247","unlimited","unlimited",10,2,0,0,0,0,0,0,0,0.816,0.184,0,0,47,"male",1,178.51,221222221222,1,12
"69","254","unlimited","unlimited",17,4,0.001,0.0112,0.0226,0.001,0.1099,0.0511,0.001,0.1137,0.5976,0.0796,0.0112,24,"male",1,256.19,1.22222122222212e+20,1,21
"70","255","unlimited","unlimited",25,7,3e-04,3e-04,3e-04,3e-04,3e-04,3e-04,3e-04,0.2147,0.7823,3e-04,3e-04,20,"male",1,337.54,2.12222122222212e+31,1,32
"71","256","unlimited","unlimited",9,2,0.004,0.004,0.004,0.004,0.004,0.0752,0.004,0.004,0.7975,0.0953,0.004,33,"male",1,202.53,21222122222,1,11
"72","262","unlimited","unlimited",17,5,0.0025,0.002,0.0054,0.0167,0.055,0.1162,0.172,0.237,0.2815,0.1033,0.0083,21,"male",1,249.93,1.22222221222122e+21,1,22
"73","273","unlimited","unlimited",9,2,0,0,0,0,0,0,0,0.12,0.6,0.28,0,18,"male",1,289.18,22122221222,1,11
"74","274","unlimited","unlimited",10,2,0.0022,0.0013,0.0026,0.0033,0.0032,0.0947,0.1994,0.4942,0.196,5e-04,0.0024,21,"male",1,168.7,212222222122,1,12
"75","276","unlimited","unlimited",12,3,0.0554,0.0554,0.0554,0.1255,0.1176,0.1143,0.1012,0.1112,0.2543,0,0.0096,21,"male",1,265.88,212222222122122,1,15
"76","280","unlimited","unlimited",25,6,0.0025,0.0038,0.0033,0.003,0.0041,0.003,0.0114,0.058,0.9003,0.0103,1e-04,27,"male",1,368.23,2.22122221221222e+30,1,31
"77","283","unlimited","unlimited",36,9,0,0,0,0,0,0,0.0706,0.602,0.3273,0,0,22,"female",1,498.08,2.22122212221222e+44,1,45
"78","287","unlimited","unlimited",4,1,0.0354,0.0605,0.0147,0.0147,0.0147,0.0147,0.0147,0.0147,0.7867,0.0147,0.0147,27,"male",1,197.9,22122,1,5
"79","292","unlimited","unlimited",5,2,0.0641,0.0975,0.0133,0.0641,0.1892,0.1425,0.1102,0.0641,0.1552,0.0625,0.0372,26,"male",1,174.83,2221221,1,7
"80","293","unlimited","unlimited",5,2,0,0,0,0.0232,0.0375,0.1022,0.2471,0.5,0.09,0,0,23,"female",1,197.12,2212212,1,7
"81","294","unlimited","unlimited",27,7,0,0,0,0,0,0,0.3104,0.6896,0,0,0,33,"male",1,227.35,2.22212122222221e+33,1,34
"82","299","unlimited","unlimited",11,2,0.0163,0.0163,0.0163,0.0163,0.0163,0.0293,0.1353,0.0163,0.5355,0.1856,0.0163,33,"male",1,207.33,1222221222222,1,13
"83","300","unlimited","unlimited",12,3,0.0021,0.004,0.004,0.004,0.004,0.0234,0.0286,0.0987,0.7959,0.0344,0.001,40,"female",1,441.62,122222221212222,1,15
"84","302","unlimited","unlimited",4,1,0.0642,0.07,0.1023,0.1178,0.0893,0.1951,0.0803,0.079,0.048,0.0454,0.1087,34,"female",1,93.69,21222,1,5
"85","303","unlimited","unlimited",28,7,0,0,0,0,0,0,0.2978,0.4059,0.2963,0,0,35,"male",1,323,2.21221222222221e+34,1,35
"86","307","unlimited","unlimited",16,4,0.0047,0.0047,0.0047,0.0019,0.0033,0.0049,0.0647,0.1319,0.6438,0.1311,0.0043,30,"male",1,366,22221222122222100480,1,20
"87","308","unlimited","unlimited",12,3,0.0025,0.0016,0.0016,0.0028,0.0021,9e-04,0.0424,0.451,0.4507,0.042,0.0024,38,"female",1,414.35,222122122222221,1,15
"88","309","unlimited","unlimited",8,2,0,0.0285,0.013,0,0.0108,0,0,0.0197,0.8597,0.013,0.0552,47,"female",1,148.68,1222222122,1,10
"89","310","unlimited","unlimited",12,3,0.0027,0.0023,0.0027,8e-04,8e-04,0.0535,0.0935,0.1408,0.6994,1e-04,0.0035,28,"female",1,167.17,222212212212222,1,15
"90","312","unlimited","unlimited",7,1,0.006,0.006,0.006,0.006,0.006,0.7493,0.1967,0.006,0.006,0.006,0.006,33,"female",1,162.42,21222222,1,8
"91","317","unlimited","unlimited",17,4,0.021,0.021,0.021,0.021,0.021,0.021,0.021,0.1469,0.1926,0.4922,0.021,26,"male",1,167.88,2.21222212222221e+20,1,21
"92","320","unlimited","unlimited",5,2,0.1608,0.053,0.0521,0.1201,0.0598,0.0613,0.099,0.0688,0.1143,0.1117,0.099,37,"female",1,290.79,2222121,1,7
"93","322","unlimited","unlimited",13,3,0.0914,0.0258,0.0661,0.0869,0.0974,0.0884,0.1316,0.1451,0.0219,0.1033,0.1421,28,"female",1,208.28,2222122212222210,1,16
"94","329","unlimited","unlimited",13,4,0,0,0,0,0,0,0.0331,0.2729,0.4191,0.275,0,21,"female",1,417.69,22212222211222200,1,17
"95","330","unlimited","unlimited",12,3,0,0,0,0,0,0,0,0.1,0.9,0,0,20,"male",1,219.82,122222222112222,1,15
"96","333","unlimited","unlimited",44,11,0,0,0,0,0,0,0.0393,0.2223,0.5117,0.2267,0,43,"female",1,250.04,1.22221222222122e+54,1,55
"97","340","unlimited","unlimited",5,1,0.0037,0.1007,0.0037,0.0583,0.0037,0.0037,0.016,0.7408,0.0622,0.0037,0.0037,58,"male",1,136.24,222212,1,6
"98","342","unlimited","unlimited",8,2,0,0,0,0,0,0,0,0.0508,0.8957,0.0535,0,24,"female",1,204.03,2122222221,1,10
"99","343","unlimited","unlimited",4,1,0.0714,0.1388,0.1449,0.009,0.1304,0.1085,0.0461,0.0379,0.1641,0.0624,0.0866,52,"female",1,102.82,21222,1,5
"100","347","unlimited","unlimited",21,5,0.0882,0.1324,0.1081,0.0483,0,0.1276,0.478,0,0,0,0.0174,30,"female",1,303.51,2.22122212222122e+25,1,26
"101","357","unlimited","unlimited",12,2,5e-04,5e-04,5e-04,5e-04,5e-04,0.0244,0.2125,0.4747,0.2555,0.03,5e-04,40,"male",1,148.5,22221122222222,1,14
"102","362","unlimited","unlimited",20,5,0,0,0,0,0,0,0,0.09,0.8213,0.0887,0,27,"male",1,400.8,1.22222222121222e+24,1,25
"103","367","unlimited","unlimited",26,7,0.0207,0.0207,0.0026,0.0207,0.0207,0.0207,0.0207,0.0207,0.8114,0.0207,0.0207,31,"female",1,295.97,1.22222122222122e+32,1,33
"104","371","unlimited","unlimited",4,1,3e-04,3e-04,3e-04,3e-04,0.0614,0.0369,3e-04,3e-04,0.7997,0.0562,0.0439,28,"female",1,199.24,12222,1,5
"105","375","unlimited","unlimited",9,2,0,0,0,0,0,0,0,0.0091,0.9909,0,0,19,"male",1,1062.52,21222221222,1,11
"106","382","unlimited","unlimited",11,2,7e-04,7e-04,7e-04,7e-04,7e-04,7e-04,7e-04,0.3933,0.4047,0.196,7e-04,21,"male",1,108.26,1222222221222,1,13
"107","383","unlimited","unlimited",13,4,0.0035,0.0063,0.0912,0.0273,0,0.0607,0.1794,0.3047,0.1885,0.1385,0,27,"female",1,218.23,21222222212212200,1,17
"108","390","unlimited","unlimited",12,4,0.002,0.005,0.0084,0.0061,0.0045,0.0031,0.0059,0.1954,0.6996,0.0681,0.0017,27,"male",1,134.72,2221222221221220,1,16
"109","391","unlimited","unlimited",10,2,3e-04,3e-04,3e-04,3e-04,3e-04,3e-04,3e-04,0.2032,0.7938,3e-04,3e-04,21,"female",1,137.3,222212221222,1,12
"110","393","unlimited","unlimited",12,3,0,0,0,0.002,0,0,0,0,0.998,0,0,38,"female",1,179.35,221221222212222,1,15
"111","407","unlimited","unlimited",5,1,5e-04,0.0064,0.028,0.0064,0.0064,0.0064,0.0064,0.0376,0.798,0.0146,0.0894,58,"female",1,182.57,222212,1,6
"112","408","unlimited","unlimited",14,3,0.01,0.01,0.01,0.01,0.01,0.0408,0.01,0.01,0.4935,0.3857,0.01,23,"female",1,195.98,22122212222122200,1,17
"113","412","unlimited","unlimited",12,3,0.0014,0.0951,0.1967,0.697,0.0014,0.0014,0.0014,0.0014,0.0014,0.0014,0.0014,20,"female",1,249.77,212222122212222,1,15
"114","413","unlimited","unlimited",8,2,0.0232,0.0227,0.0243,0.0215,0.024,0.0217,0.0217,0.0199,0.8167,0.003,0.0011,46,"female",1,217.22,2212222212,1,10
"115","417","unlimited","unlimited",12,3,0.0087,0.0087,0.0087,0.0087,0.0087,0.0087,0.0087,0.815,0.107,0.0087,0.0087,23,"male",1,299.15,221222122222221,1,15
"116","419","unlimited","unlimited",8,2,0.0061,0.0061,0.0061,0.0061,0.0061,0.0972,0.195,0.379,0.286,0.0061,0.0061,25,"female",1,154.84,2212222122,1,10
"117","420","unlimited","unlimited",14,3,0.0077,6e-04,0.001,0.0053,0.0053,0.0233,0.099,0.2904,0.3787,0.1879,7e-04,35,"male",1,228.24,22221222212212200,1,17
"118","422","unlimited","unlimited",8,2,0.0022,0.018,0.0622,0.0243,0,0.0322,0,0.7409,0.08,0.0401,0,34,"female",1,249.8,2221222122,1,10
"119","423","unlimited","unlimited",8,2,0,0,0,0,0,0,0.0838,0.1148,0.6132,0.1153,0.0729,25,"female",1,277.14,2222122122,1,10
"120","425","unlimited","unlimited",8,2,0,0,0,0,0,0,0,0.1637,0.6683,0.168,0,26,"male",1,139.68,2221212222,1,10
"121","427","unlimited","unlimited",10,2,0.0049,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.9591,0.004,0.004,25,"male",1,257.53,222122122222,1,12
"122","430","unlimited","unlimited",17,4,5e-04,5e-04,5e-04,5e-04,5e-04,0.1333,0.2067,0.3045,0.2567,0.096,5e-04,33,"male",1,229.57,2.21222122222212e+20,1,21
"123","436","unlimited","unlimited",9,2,0.7869,0.0017,0.0013,0.0026,0.0018,0.0028,7e-04,0.0027,0.1952,0.003,0.0013,49,"male",1,381.57,22221222212,1,11
"124","437","unlimited","unlimited",20,4,0.0484,0.5162,0.2013,0.0499,0.0363,0.0231,0.0357,0.0253,0.0337,0.0151,0.0151,25,"female",1,200.65,2.22121222222221e+23,1,24
"125","440","unlimited","unlimited",8,2,6e-04,0.002,0,0,1e-04,0.988,0,0,0,0,0.0093,50,"male",1,177.28,2221222221,1,10
"126","444","unlimited","unlimited",9,2,0,0.0465,0.1231,0.1253,0.0377,0,0.592,0,0,0.0049,0.0706,51,"male",1,422.42,22122122222,1,11
"127","446","unlimited","unlimited",8,2,0.0082,0.009,0.015,0.0337,0.0408,0.0783,0.1245,0.4271,0.14,0.09,0.0333,35,"male",1,195.42,2122222122,1,10
"128","447","unlimited","unlimited",13,4,0,0,0,0,0,0,0,0.0952,0.8062,0.0986,0,23,"male",1,184.63,22221212222222100,1,17
"129","450","unlimited","unlimited",8,2,0.0019,0.0019,0.0019,0.0019,0.0013,0.0019,0.0019,0.0437,0.8906,0.0373,0.0156,24,"female",1,221.52,2122222212,1,10
