"","pID","condition","section","seenRed","seenBlue","e0","e10","e20","e30","e40","e50","e60","e70","e80","e90","e100","age","gender","botCheck","time","chipsOrder","actuallyEstimated"
"33",155,"given","posterior",4,1,0.1468,0,0.0602,0.1155,0,0.0338,0.5811,0,0,0,0.0626,49,"female",0,64.5,22122,1
"34",158,"estimated","prior",4,1,0.0128,0.1298,0.1106,0.0255,0.0574,0.1681,0.1277,0.0447,0.0128,0.1809,0.1298,21,"male",1,68.92,21222,0
"35",158,"estimated","posterior",4,1,0.1416,0.0245,0.1434,0.0857,0.014,0.0559,0.1486,0.0402,0.1573,0.1451,0.0437,21,"male",1,68.92,21222,0
"36",187,"estimated","prior",4,1,0.0044,0.0044,0.0252,0.1175,0.174,0.3365,0.1739,0.125,0.0267,0.01,0.0024,18,"female",0,375.32,22212,1
"37",187,"estimated","posterior",4,1,0,0,0,0,0.0135,0.1478,0.2484,0.2682,0.2767,0.0454,0,18,"female",0,375.32,22212,1
"38",198,"estimated","prior",4,1,0.0731,0.0605,0.0292,0.1106,0.1065,0.0292,0.0021,0.0939,0.1148,0.1962,0.1837,20,"male",1,57.41,22212,0
"39",198,"estimated","posterior",4,1,0.0799,0.092,0.0678,0.0436,0.1695,0.109,0.0654,0.2397,0.0678,0.0291,0.0363,20,"male",1,57.41,22212,0
"40",202,"estimated","prior",4,1,0.0033,0,0.0833,0,0.4387,0,0.1163,0.0833,0.1163,0.0348,0.1241,27,"male",0,89.27,22212,1
"41",202,"estimated","posterior",4,1,0.0688,0.0874,0,0.0502,0.0446,0,0,0.6968,0,0.0502,0.0019,27,"male",0,89.27,22212,1
"42",205,"estimated","prior",4,1,0.0797,0.0901,0.0745,0.1265,0.1612,0.0277,0.149,0.0676,0.0763,0.0104,0.1369,23,"male",1,102.87,22212,0
"43",205,"estimated","posterior",4,1,0.023,0.0026,0.023,0.023,0.023,0.023,0.087,0.6875,0.1046,5e-04,0.0026,23,"male",1,102.87,22212,1
"44",206,"estimated","prior",4,1,0.1522,0.0535,0.0251,0.1538,0.0167,0.1656,0.1639,0.092,0.0234,0.0518,0.102,20,"male",1,236.62,12222,0
"45",206,"estimated","posterior",4,1,0.1556,0.0366,0.0618,0.0847,0.1373,0.119,0.1739,0.1144,0.0229,0.0069,0.087,20,"male",1,236.62,12222,0
"46",213,"given","posterior",4,1,0,0,0.28,0,0,0.66,0,0,0.06,0,0,24,"female",0,185.65,22221,1
"47",214,"estimated","prior",4,1,0.1505,0.2526,0.0204,0.0383,0.1097,0.0179,0.0102,0.0332,0.0612,0.148,0.1582,21,"male",1,106.33,22212,0
"48",214,"estimated","posterior",4,1,0,0,0,0,0.0533,0.1576,0.2972,0.4019,0.09,0,0,21,"male",1,106.33,22212,1
"49",218,"estimated","prior",4,1,0.0727,0.1709,0.0236,0.12,0.08,0.1218,0.16,0.0545,0.0164,0.0891,0.0909,18,"female",1,37.22,22212,0
"50",218,"estimated","posterior",4,1,0.1309,0.1128,0.1142,0.1281,0.0237,0.0084,0.124,0.0933,0.0613,0.0752,0.1281,18,"female",1,37.22,22212,0
"51",221,"estimated","prior",4,1,0.0736,0.1909,0.1054,0.0258,0.0159,0.1909,0.004,0.1213,0.1312,0.0974,0.0437,26,"female",1,142.35,21222,0
"52",221,"estimated","posterior",4,1,9e-04,0.0742,0.05,0.0742,0.0848,0.1203,0.1497,0.1834,0.1927,0.0666,0.0033,26,"female",1,142.35,21222,1
"53",222,"given","posterior",4,1,0.1223,0.1079,0.1353,0.0058,0.1324,0.0734,0.0547,0.0748,0.1108,0.1439,0.0388,19,"male",1,163.66,22212,0
"54",235,"given","posterior",4,1,0.0672,0.0791,0.0776,0.1134,0.0388,0.1045,0.1284,0.1239,0.0672,0.1179,0.0821,28,"male",1,131.64,22221,0
"55",241,"estimated","prior",4,1,0.0044,0.1615,0.1726,0.0575,0.0774,0.0553,0.0332,0.104,0.0686,0.1106,0.1549,29,"female",1,105.47,21222,0
"56",241,"estimated","posterior",4,1,0.0088,0.129,0.0707,0.1431,0.0336,0.0265,0.1625,0.0936,0.053,0.106,0.1731,29,"female",1,105.47,21222,0
"57",245,"estimated","prior",4,1,0.0167,0.0167,0.115,0.0195,0.0167,0.1623,0.2367,0.0383,0.1198,0.1948,0.0634,38,"female",0,268.55,22221,1
"58",245,"estimated","posterior",4,1,0.011,0.011,0.011,0.011,0.011,0.011,0.011,0.011,0.011,0.011,0.89,38,"female",0,268.55,22221,1
"59",258,"estimated","prior",4,1,0.0826,0.1351,0.0319,0.1407,0.1163,0.1051,0.0375,0.0507,0.152,0.1351,0.0131,30,"female",1,331.53,22212,0
"60",258,"estimated","posterior",4,1,0.1254,0.0795,0.1095,0.1466,0.1254,0.1749,0.0159,0.0353,0.1555,0.0194,0.0124,30,"female",1,331.53,22212,0
